"","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","bedrooms","price","number_of_reviews"
"1",2818,"Oostelijk Havengebied - Indische Buurt",52.36575,4.94142,"Private room in apartment","Private room",1,59,278
"3",25428,"Centrum-West",52.37297,4.88339,"Entire apartment","Entire home/apt",1,125,5
"5",28871,"Centrum-Oost",52.3661,4.88953,"Private room in apartment","Private room",1,75,336
"6",29051,"Centrum-Oost",52.36607,4.891,"Private room in apartment","Private room",1,55,480
"7",31080,"Zuid",52.35132,4.84838,"Entire apartment","Entire home/apt",3,219,32
"8",41125,"Centrum-West",52.37891,4.88321,"Entire apartment","Entire home/apt",1,160,89
"9",43109,"Centrum-West",52.37537,4.88932,"Entire apartment","Entire home/apt",2,211,59
"10",44129,"Centrum-West",52.38071,4.8861,"Entire apartment","Entire home/apt",1,115,179
"11",46386,"De Pijp - Rivierenbuurt",52.35247,4.90825,"Entire apartment","Entire home/apt",1,150,3
"16",52490,"Oostelijk Havengebied - Indische Buurt",52.37005,4.93869,"Private room in apartment","Private room",1,75,102
"19",55256,"Centrum-Oost",52.37126,4.90351,"Private room in apartment","Private room",1,90,179
"20",55621,"De Pijp - Rivierenbuurt",52.35386,4.89772,"Entire apartment","Entire home/apt",2,222,32
"21",55807,"De Baarsjes - Oud-West",52.36966,4.86203,"Private room in apartment","Private room",1,65,157
"22",55868,"Zuid",52.35613,4.88515,"Entire apartment","Entire home/apt",2,149,95
"23",56703,"Centrum-West",52.37629,4.88019,"Entire house","Entire home/apt",2,155,0
"25",62015,"Oud-Oost",52.36445,4.93124,"Entire apartment","Entire home/apt",1,135,30
"26",62801,"Bos en Lommer",52.38459,4.85463,"Entire apartment","Entire home/apt",2,750,0
"28",67841,"De Pijp - Rivierenbuurt",52.35472,4.89324,"Entire apartment","Entire home/apt",1,106,16
"29",68290,"Centrum-West",52.36887,4.89523,"Private room in apartment","Private room",1,45,659
"30",68873,"Centrum-West",52.3695,4.89556,"Private room in apartment","Private room",1,98,579
"31",70598,"Noord-West",52.41433,4.92014,"Private room in house","Private room",1,40,108
"32",75382,"Oud-Oost",52.36482,4.92762,"Private room in apartment","Private room",1,55,254
"33",75444,"Centrum-Oost",52.36703,4.92879,"Private room in apartment","Private room",1,48,324
