Year,Temperature
1850,13.651
1851,13.772
1852,13.798
1853,13.792
1854,13.803
1855,13.807
1856,13.679
1857,13.536000000000001
1858,13.742
1859,13.856
1860,13.703000000000001
1861,13.623000000000001
1862,13.512
1863,13.757
1864,13.718
1865,13.81
1866,13.852
1867,13.898
1868,13.871
1869,13.872
1870,13.8
1871,13.768
1872,13.802
1873,13.836
1874,13.783000000000001
1875,13.743
1876,13.74
1877,14.123000000000001
1878,14.207
1879,13.868
1880,13.786
1881,13.901
1882,13.846
1883,13.794
1884,13.620000000000001
1885,13.659
1886,13.633000000000001
1887,13.599
1888,13.803
1889,13.927
1890,13.632
1891,13.754000000000001
1892,13.691
1893,13.713000000000001
1894,13.725
1895,13.798
1896,13.886000000000001
1897,13.9
1898,13.695
1899,13.866
1900,13.971
1901,13.893
1902,13.735000000000001
1903,13.635
1904,13.577
1905,13.758000000000001
1906,13.845
1907,13.675
1908,13.655000000000001
1909,13.591000000000001
1910,13.633000000000001
1911,13.620000000000001
1912,13.687000000000001
1913,13.717
1914,13.903
1915,13.957
1916,13.719000000000001
1917,13.571
1918,13.739
1919,13.804
1920,13.862
1921,13.914
1922,13.826
1923,13.860000000000001
1924,13.852
1925,13.895
1926,14.032
1927,13.917
1928,13.927
1929,13.744
1930,13.974
1931,14.036
1932,13.994
1933,13.799000000000001
1934,13.947000000000001
1935,13.887
1936,13.956000000000001
1937,14.113
1938,14.118
1939,14.097000000000001
1940,14.179
1941,14.135
1942,14.145
1943,14.199
1944,14.304
1945,14.177
1946,14.030000000000001
1947,14.099
1948,14.007
1949,13.997
1950,13.934000000000001
1951,14.114
1952,14.187000000000001
1953,14.26
1954,14.064
1955,14.014000000000001
1956,13.932
1957,14.161
1958,14.166
1959,14.149000000000001
1960,14.091000000000001
1961,14.166
1962,14.108
1963,14.151
1964,13.884
1965,14.005
1966,14.063
1967,14.095
1968,14.019
1969,14.168000000000001
1970,14.121
1971,14.003
1972,14.112
1973,14.246
1974,14.041
1975,14.106
1976,14.008000000000001
1977,14.338000000000001
1978,14.213000000000001
1979,14.289
1980,14.412
1981,14.462
1982,14.246
1983,14.427
1984,14.259
1985,14.255
1986,14.309000000000001
1987,14.449
1988,14.493
1989,14.379000000000001
1990,14.566
1991,14.554
1992,14.346
1993,14.404
1994,14.454
1995,14.611
1996,14.5
1997,14.64
1998,14.790000000000001
1999,14.548
2000,14.55
2001,14.684000000000001
2002,14.778
2003,14.76
2004,14.672
2005,14.839
2006,14.789
2007,14.802
2008,14.675
2009,14.81
2010,14.88
2011,14.77
2012,14.788
2013,14.807
2014,14.879000000000001
2015,15.023
2016,15.16
2017,15.064
2018,14.989
2019,15.125
2020,15.151
2021,14.997
2022,15.039
