brexit_vote,age
Remain,37
Remain,55
Leave,71
Remain,37
Remain,42
Remain,69
Remain,20
Remain,38
Leave,60
Remain,32
Did not vote,79
Remain,58
Remain,46
Remain,51
Leave,74
Remain,57
Leave,61
Leave,47
Leave,56
Remain,87
Leave,76
Did not vote,20
Leave,35
Remain,28
Remain,38
Leave,44
Leave,38
Remain,82
Remain,65
Remain,75
Leave,24
Remain,63
Did not vote,31
Leave,53
Did not vote,31
Did not vote,45
Leave,79
Remain,68
Leave,64
Leave,51
Remain,53
Did not vote,55
Remain,64
Can't remember,26
Leave,31
Remain,59
Remain,41
Remain,76
Remain,60
Did not vote,43
Remain,22
Remain,52
Leave,65
Leave,28
Did not vote,35
Leave,31
Did not vote,31
Leave,21
Remain,22
Leave,36
Leave,49
Leave,64
Remain,26
Leave,49
Remain,26
Leave,56
Leave,69
Did not vote,30
Remain,28
Leave,50
Remain,30
Remain,23
Leave,51
Leave,51
Did not vote,26
Did not vote,33
Leave,60
Leave,55
Remain,73
Did not vote,35
Remain,46
Remain,37
Did not vote,56
Leave,19
Leave,70
Leave,23
Remain,69
Remain,76
Remain,66
Remain,55
Remain,49
Leave,47
Remain,58
Remain,57
Remain,76
Did not vote,20
Leave,64
Did not vote,81
Leave,27
Remain,21
Leave,21
Remain,38
Remain,62
Leave,59
Remain,68
Remain,20
Remain,48
Leave,61
Leave,47
Remain,55
Remain,77
Remain,61
Leave,22
Leave,68
Leave,30
Remain,67
Leave,24
Did not vote,29
Leave,46
Remain,68
Did not vote,20
Remain,44
Leave,65
Remain,50
Leave,70
Leave,78
Did not vote,23
Leave,43
Leave,40
Did not vote,37
Leave,59
Did not vote,28
Did not vote,75
Remain,65
Leave,33
Leave,62
Did not vote,67
Remain,42
Leave,67
Remain,66
Remain,61
Remain,59
Remain,66
Remain,64
Remain,62
Remain,77
Remain,89
Remain,77
Remain,85
Remain,29
Remain,33
Remain,46
Did not vote,43
Leave,30
Remain,58
Did not vote,19
Remain,32
Refused,47
Did not vote,44
Leave,83
Remain,81
Did not vote,24
Remain,78
Remain,32
Remain,42
Leave,35
Leave,45
Did not vote,25
Leave,76
Leave,27
Leave,56
Remain,65
Refused,42
Remain,48
Remain,84
Leave,73
Leave,74
Remain,24
Did not vote,29
Did not vote,20
Remain,20
Did not vote,18
Remain,79
Leave,70
Did not vote,69
Remain,38
Refused,48
Remain,39
Did not vote,41
Remain,20
Did not vote,45
Remain,50
Remain,21
Remain,61
Did not vote,33
Leave,69
Leave,31
Remain,55
Leave,50
Leave,60
Remain,59
Leave,57
Leave,33
Remain,71
Remain,36
Remain,39
Leave,30
Did not vote,57
Did not vote,27
Leave,76
Leave,56
Leave,25
Remain,23
Leave,32
Leave,55
Leave,35
Leave,48
Remain,26
Remain,24
Remain,38
Refused,64
Remain,40
Leave,38
Remain,34
Remain,45
Remain,52
Did not vote,44
Did not vote,40
Did not vote,42
Did not vote,50
Remain,24
Leave,58
Leave,60
Leave,71
Too young,18
Remain,51
Did not vote,39
Remain,20
Leave,83
Did not vote,37
Leave,65
Remain,66
Remain,54
Did not vote,38
Remain,60
Remain,69
Remain,48
Leave,62
Leave,32
Remain,67
Leave,51
Remain,78
Leave,62
Refused,50
Leave,49
Remain,27
Did not vote,19
Remain,38
Remain,63
Remain,57
Remain,83
Leave,45
Remain,53
Remain,21
Remain,21
Remain,59
Leave,71
Remain,33
Remain,40
Leave,75
Remain,41
Leave,56
Remain,71
Did not vote,66
Did not vote,60
Leave,41
Did not vote,58
Remain,24
Leave,20
Did not vote,49
Did not vote,48
Remain,67
Remain,73
Remain,54
Leave,42
Remain,34
Remain,29
Did not vote,21
Remain,25
Remain,58
Remain,20
Remain,40
Remain,22
Remain,31
Remain,42
Remain,23
Remain,76
Leave,33
Did not vote,33
Leave,59
Remain,56
Remain,20
Did not vote,19
Remain,22
Remain,46
Leave,89
Remain,35
Leave,20
Did not vote,32
Leave,78
Did not vote,32
Refused,53
Did not vote,42
Leave,41
Leave,69
Leave,24
Remain,69
Leave,36
Leave,60
Remain,39
Did not vote,20
Did not vote,30
Remain,22
Remain,81
Remain,27
Leave,59
Leave,36
Remain,57
Remain,70
Did not vote,29
Leave,57
Leave,36
Remain,56
Did not vote,29
Remain,42
Leave,41
Leave,25
Leave,73
Remain,49
Remain,47
Did not vote,31
Remain,44
Remain,45
Remain,64
Did not vote,34
Remain,22
Leave,19
Did not vote,41
Leave,44
Remain,29
Remain,53
Did not vote,50
Remain,30
Did not vote,32
Did not vote,24
Leave,42
Leave,50
Remain,59
Leave,58
Remain,40
Remain,68
Did not vote,34
Remain,44
Remain,44
Remain,24
Remain,65
Remain,92
Did not vote,32
Leave,27
Leave,50
Did not vote,42
Did not vote,36
Remain,31
Did not vote,76
Leave,56
Remain,71
Leave,88
Remain,54
Leave,35
Leave,56
Did not vote,27
Refused,36
Did not vote,42
Did not vote,34
Refused,37
Leave,41
Remain,33
Remain,23
Leave,29
Remain,36
Did not vote,34
Did not vote,81
Can't remember,46
Did not vote,32
Did not vote,23
Did not vote,35
Did not vote,45
Remain,31
Leave,57
Remain,92
Remain,29
Leave,27
Did not vote,31
Did not vote,30
Did not vote,31
Remain,60
Leave,62
Leave,31
Did not vote,52
Remain,27
Did not vote,27
Leave,57
Remain,46
Remain,31
Did not vote,56
Refused,48
Did not vote,24
Remain,73
Remain,51
Did not vote,27
Leave,21
Did not vote,25
Did not vote,32
Did not vote,33
Remain,34
Remain,18
Did not vote,22
Did not vote,39
Leave,68
Remain,66
Remain,58
Remain,31
Remain,56
Remain,38
Did not vote,21
Remain,80
Remain,83
Leave,50
Leave,48
Leave,68
Did not vote,25
Leave,49
Remain,61
Did not vote,59
Did not vote,34
Remain,52
Remain,23
Remain,71
Leave,34
Remain,21
Remain,25
Did not vote,24
Remain,39
