Rank,District,"2021 Median Income",Representative
1,CA-17,157049,R. Khanna
2,CA-16,150720,A. Eshoo
3,VA-10,140815,J. Wexton
4,VA-11,139003,G. Connolly
5,CA-10,135150,M. DeSaulnier
6,CA-15,125855,K. Mullin
7,CA-11,124456,N. Pelosi
8,NY-4,121979,A. D’Esposito
9,MD-8,120948,J. Raskin
10,WA-1,120671,S. DelBene
11,NY-1,120031,N. LaLota
12,NJ-7,119567,T. Kean
13,CA-14,119209,E. Swalwell
14,NY-3,119185,G. Santos
15,NJ-11,117198,M. Sherrill
16,MD-5,117049,S. Hoyer
17,VA-8,116332,D. Beyer
18,NY-12,116070,J. Nadler
19,MA-5,115618,K. Clark
20,MD-3,114804,J. Sarbanes
21,NY-17,114511,M. Lawler
22,CA-40,113590,Y. Kim
23,NJ-5,113326,J. Gottheimer
24,WA-8,111589,K. Schrier
25,WA-7,111033,P. Jayapal
26,CA-36,110638,T. Lieu
27,NY-2,109607,A. Garbarino
28,CA-49,108544,M. Levin
29,GA-6,108217,R. McCormick
30,CA-19,108115,J. Panetta
31,CA-47,106156,K. Porter
32,CT-4,103548,J. Himes
33,MA-6,103105,S. Moulton
34,CA-50,103036,S. Peters
35,NJ-3,102960,A. Kim
36,VA-7,102189,A. Spanberger
37,TX-26,102036,M. Burgess
38,MA-4,101977,J. Auchincloss
39,CO-4,101778,K. Buck
40,IL-5,101166,M. Quigley
41,MA-8,100517,S. Lynch
42,TX-3,100514,K. Self
43,PA-1,100136,B. Fitzpatrick
44,CA-26,99443,J. Brownley
45,PA-4,99271,M. Dean
46,NJ-12,99002,B. Watson Coleman
47,TX-24,98648,B. Van Duyne
48,AZ-5,97042,A. Biggs
49,NY-16,96948,J. Bowman
50,CA-48,96266,D. Issa
51,MN-2,95999,A. Craig
52,NY-10,95778,D. Goldman
53,IL-11,95707,B. Foster
54,CA-32,95423 ,B. Sherman
55,MN-3,95334,D. Phillips
56,CA-3,94516,K. Kiley
57,PA-6,94356,C. Houlahan
58,VA-1,93142,R. Wittman
59,NC-2,92635,D. Ross
60,IL-10,92214,B. Schneider
61,NH-1,91872,C. Pappas
62,NJ-6,91772,F. Pallone Jr.
63,CA-45,91764,M. Steel
64,CA-51,91701,S. Jacobs
65,TX-38,91184,W. Hunt
66,CA-12,91100,B. Lee
67,CA-28,91049,J. Chu
68,MN-6,90836,T. Emmer
69,TX-22,90555,T. Nehls
70,CA-18,90456,Z. Lofgren
71,CA-27,90400,M. Garcia
72,DC-At Large,90088,E. Norton
73,MO-2,89358,A. Wagner
74,HI-1,89167,E. Case
75,KS-3,88701,S. Davids
76,WA-9,88622,A. Smith
77,MD-2,87980,D. Ruppersberger
78,IL-6,87929,S. Casten
79,CA-38,87928,L. Sánchez
80,MA-9,87687,W. Keating
81,CO-7,87480,B. Pettersen
82,CO-2,87437,J. Neguse
83,CA-41,87429,K. Calvert
84,UT-4,87320,B. Owens
85,MA-2,86865,J. McGovern
86,MD-6,86245,D. Trone
87,CA-2,86015,J. Huffman
88,AZ-1,86002,D. Schweikert
89,MI-6,85891,D. Dingell
90,TX-2,85790,D. Crenshaw
91,NY-18,84999,P. Ryan
92,CA-8,84973,J. Garamendi
93,CA-4,84644,M. Thompson
94,IL-8,84500,R. Krishnamoorthi
95,NH-2,84417,A. Kuster
96,TX-21,84168,C. Roy
97,NJ-4,84057,C. Smith
98,CA-24,83996,S. Carbajal
99,CO-6,83883,J. Crow
100,WI-5,83862,S. Fitzgerald
101,TX-8,83814,M. Luttrell
102,CT-2,83734,J. Courtney
103,MI-11,83176,H. Stevens
104,MA-3,83024,L. Trahan
105,VA-2,82927,J. Kiggans
106,GA-11,82747,B. Loudermilk
107,TX-4,82640,P. Fallon
108,CA-7,82607,D. Matsui
109,CO-8,82465,Y. Caraveo
110,OR-1,82256 ,S. Bonamici
111,TX-31,81714,J. Carter
112,TX-37,81520,L. Doggett
113,IL-14,81316,L. Underwood
114,CA-9,81223,J. Harder
115,CO-1,81218,D. DeGette
116,OR-5,81113,L. Chavez-DeRemer
117,MD-1,80984,A. Harris
118,CA-35,80963,N. Torres
119,UT-3,80915,J. Curtis
120,MD-4,80808,G. Ivey
121,CT-5,80655,J. Hayes
122,NJ-1,80459,D. Norcross
123,CA-5,80355,T. McClintock
124,IL-9,80300,J. Schakowsky
125,CA-31,80102,G. Napolitano
126,NY-7,79594,N. Velázquez
127,CO-5,79567,D. Lamborn
128,OR-3,79532,E. Blumenauer
129,WA-10,79478,M. Strickland
130,HI-2,79474,J. Tokuda
131,WA-3,79251,M. Perez
132,CT-3,78911,R. DeLauro
133,CA-30,78476,A. Schiff
134,SC-1,78342,N. Mace
135,MN-4,78280,B. McCollum
136,TN-5,78185,A. Ogles
137,CA-39,78174,M. Takano
138,PA-17,77984,C. Deluzio
139,WA-6,77880,D. Kilmer
140,AK-At Large,77845,M. Peltola
141,UT-1,77807,B. Moore
142,FL-5,77698,J. Rutherford
143,RI-2,77649,S. Magaziner
144,CA-46,77648,L. Correa
145,WA-2,77404,R. Larsen
146,NY-20,77230,P. Tonko
147,CA-20,77205,K. McCarthy
148,CT-1,77023,J. Larson
149,NY-11,76805,N. Malliotakis
150,IL-3,76411,D. Ramirez
151,NC-14,76176,J. Jackson
152,ME-1,76039,C. Pingree
153,NJ-9,75997,B. Pascrell Jr.
154,WI-2,75880,M. Pocan
155,PA-11,75875,L. Smucker
156,MA-7,75812,A. Pressley
157,CA-33,75770,P. Aguilar
158,OH-7,75339,M. Miller
159,FL-25,75269,D. Wasserman Schultz
160,PA-5,75243,M. Scanlon
161,OR-6,74711,A. Salinas
162,NV-2,74058,M. Amodei
163,TX-12,74002,K. Granger
164,NJ-2,73928,J. Van Drew
165,TX-10,73784,M. McCaul
166,NY-5,73628 ,G. Meeks
167,MI-9,73460,L. McClain
168,CA-52,73215,J. Vargas
169,CA-44,73188,N. Barragán
170,AZ-8,73095,D. Lesko
171,FL-16,72884,V. Buchanan
172,CA-6,72860,A. Bera
173,GA-7,72792,L. McBath
174,UT-2,72791,C. Stewart
175,IL-16,72666,D. LaHood
176,FL-11,72624,D. Webster
177,NE-2,72455,D. Bacon
178,VT-At Large,72431,B. Balint
179,PA-10,72359,S. Perry
180,GA-5,71695,N. Williams
181,NJ-8,71688,R. Menendez Jr.
182,MN-5,71636,I. Omar
183,NC-13,71598,W. Nickel
184,PA-7,71407,S. Wild
185,TX-14,71372,R. Weber
186,MO-3,71309,B. Luetkemeyer
187,DE-At Large,71091,L. Blunt Rocheste
188,IA-3,70794,Z. Nunn
189,FL-21,70739,B. Mast
