Country cry_tendency cry_tendency cry_time cry_time N N
Country Male Female Male Female Male Female
"Australia" 3.22 6.00 3.63 2.67 63 183
"Austria" 3.66 6.10 4.24 3.36 29 50
"Belgium" 2.92 5.91 4.53 3.20 51 171
"Brazil" 3.97 6.88 4.48 3.37 174 245
"Bulgaria" 3.58 5.59 5.14 3.61 50 51
"Chile" 3.43 6.40 4.09 2.60 53 55
"China" 3.38 5.17 5.13 3.75 72 103
"Finland" 3.11 6.57 4.07 2.92 55 49
"Germany" 3.89 6.61 4.15 3.02 39 50
"Ghana" 3.80 5.28 5.11 4.50 54 53
"Greece" 3.11 5.67 4.54 2.92 37 79
"Hungary" 3.65 5.70 4.18 2.98 34 48
"Iceland" 2.51 5.96 5.04 3.42 146 180
"India" 3.23 5.05 4.85 3.36 162 112
"Indonesia" 3.06 5.61 5.11 3.39 53 118
"Israel" 2.80 6.28 4.15 3.10 47 50
"Italy" 4.46 6.25 4.54 2.88 35 79
"Jamaica" 3.18 6.24 4.82 3.50 34 64
"Japan" 2.79 4.90 4.95 3.80 201 80
"Kenya" 3.81 5.40 4.82 3.78 85 82
"Korea" 3.47 5.61 5.06 3.18 187 228
"Lithuania" 2.79 5.90 4.43 2.94 53 135
"Malaysia" 2.26 5.40 5.42 3.91 43 48
"Nepal" 3.55 5.19 4.83 4.40 53 47
"Netherlands" 2.66 6.05 4.79 2.88 85 78
"New Zealand" 3.50 5.84 3.88 2.96 26 49
"Nigeria" 3.49 4.43 5.47 4.61 57 41
"Peru" 3.95 5.40 4.91 4.15 45 48
"Poland" 2.47 5.66 4.85 3.00 53 56
"Portugal" 2.81 6.30 4.95 3.03 63 64
"Romania" 3.23 5.30 4.75 3.40 77 91
"Spain" 3.42 6.59 4.86 3.00 50 51
"Sweden" 3.81 6.96 4.18 2.38 47 50
"Switzerland" 2.53 6.19 4.96 3.33 51 67
"Turkey" 4.04 6.35 4.46 2.83 50 52
"United Kingdom" 2.60 5.49 4.29 3.34 32 51
"United States" 3.61 6.34 3.73 2.53 51 160
