Unnamed: 0,Episode Title,Date,Date.1,Time,Length,⇩ Rating,Share,AI,Chart
1,City of Death: Part Four,Sat,20 Oct 1979,6:16pm,00:25:00,16.10m,,64.0,16
2,City of Death: Part Three,Sat,13 Oct 1979,6:04pm,00:25:00,15.40m,,,34
3,Destiny of the Daleks: Episode Four,Sat,22 Sep 1979,6:17pm,00:26:05,14.40m,,64.0,27
4,City of Death: Part Two,Sat,6 Oct 1979,6:17pm,00:25:00,14.10m,,64.0,44
5,Destiny of the Daleks: Episode Three,Sat,15 Sep 1979,6:08pm,00:24:32,13.80m,,63.0,28
6,The Ark In Space: Part Two,Sat,1 Feb 1975,5:30pm,00:24:49,13.60m,,,5
7,The Web Planet,Sat,13 Feb 1965,5:40pm,00:23:57,13.50m,,56.0,7
8,Voyage of the Damned,Tue,25 Dec 2007,6:51pm,01:11:50,13.31m,51.6%,85.0,2
9,The Next Doctor,Thu,25 Dec 2008,6:00pm,01:00:40,13.10m,52.1%,86.0,2
10,The Robots of Death: Part Three,Sat,12 Feb 1977,6:18pm,00:23:51,13.10m,,,15
11,The Romans: The Slave Traders,Sat,16 Jan 1965,5:40pm,00:24:14,13.00m,,53.0,7
12,The Rescue: Desperate Measures,Sat,9 Jan 1965,5:41pm,00:24:36,13.00m,,59.0,8
13,The Web Planet: Crater of Needles,Sat,6 Mar 1965,5:39pm,00:25:50,13.00m,,49.0,9
14,The Deadly Assassin: Part Three,Sat,13 Nov 1976,6:07pm,00:24:20,13.00m,,,12
15,Destiny of the Daleks: Episode One,Sat,1 Sep 1979,6:13pm,00:24:03,13.00m,,67.0,28
16,The Day of The Doctor,Sat,23 Nov 2013,7:50pm,01:16:44,12.80m,40.9%,88.0,1
17,Destiny of the Daleks: Episode Two,Sat,8 Sep 1979,6:09pm,00:25:14,12.70m,,,39
18,The Robots of Death: Part Four,Sat,19 Feb 1977,6:25pm,00:23:42,12.60m,,57.0,18
19,The Web Planet: Escape to Danger,Sat,27 Feb 1965,5:40pm,00:22:52,12.50m,,53.0,11
20,The Web Planet: The Zarbi,Sat,20 Feb 1965,5:40pm,00:23:20,12.50m,,53.0,12
21,The Dalek Invasion of Earth: The Daleks,Sat,28 Nov 1964,5:41pm,00:24:19,12.40m,,59.0,10
22,The Dalek Invasion of Earth: Flashpoint,Sat,26 Dec 1964,5:58pm,00:25:21,12.40m,,60.0,12
23,The Robots of Death: Part Two,Sat,5 Feb 1977,6:22pm,00:24:15,12.40m,,,17
24,The Power of Kroll: Part Two,Sat,30 Dec 1978,6:30pm,00:23:57,12.40m,,,26
25,City of Death: Part One,Sat,29 Sep 1979,6:06pm,00:25:00,12.40m,,,50
26,The End of Time: Part Two,Fri,1 Jan 2010,6:41pm,01:12:35,12.27m,40.0%,89.0,1
27,A Christmas Carol,Sat,25 Dec 2010,6:01pm,01:02:04,12.11m,41.8%,83.0,4
28,The Deadly Assassin: Part Two,Sat,6 Nov 1976,6:04pm,00:24:44,12.10m,,59.0,11
29,The Android Invasion: Part Three,Sat,6 Dec 1975,5:46pm,00:24:50,12.10m,,,14
30,The Robots of Death: Part One,Sat,29 Jan 1977,6:20pm,00:24:06,12.10m,,62.0,14
31,The End of Time: Part One,Fri,25 Dec 2009,5:59pm,00:59:35,12.04m,44.7%,87.0,1
32,The Rescue: The Powerful Enemy,Sat,2 Jan 1965,5:40pm,00:26:15,12.00m,,57.0,11
33,The Web Planet: Invasion,Sat,13 Mar 1965,5:40pm,00:26:04,12.00m,,48.0,12
34,The Romans: Inferno,Sat,6 Feb 1965,5:40pm,00:23:09,12.00m,,50.0,13
35,The Hand Of Fear: Part Four,Sat,23 Oct 1976,6:02pm,00:25:00,12.00m,,,19
36,The Dalek Invasion of Earth: Day of Reckoning,Sat,5 Dec 1964,5:39pm,00:26:50,11.90m,,59.0,10
37,The Dalek Invasion of Earth: The End of Tomorrow,Sat,12 Dec 1964,5:40pm,00:23:23,11.90m,,59.0,11
38,The Three Doctors: Episode Four,Sat,20 Jan 1973,5:51pm,00:25:07,11.90m,,,17
39,The Android Invasion: Part One,Sat,22 Nov 1975,5:47pm,00:24:21,11.90m,,58.0,17
40,The Deadly Assassin: Part Four,Sat,20 Nov 1976,6:07pm,00:24:30,11.80m,,61.0,12
41,The Deadly Assassin: Part One,Sat,30 Oct 1976,6:09pm,00:21:13,11.80m,,,15
42,The Face of Evil: Part Four,Sat,22 Jan 1977,6:26pm,00:24:46,11.70m,,60.0,19
43,Pyramids of Mars: Part Four,Sat,15 Nov 1975,5:45pm,00:24:52,11.70m,,60.0,22
44,Underworld: Part Four,Sat,28 Jan 1978,6:29pm,00:23:03,11.70m,,,27
45,The Web Planet: The Centre,Sat,20 Mar 1965,5:55pm,00:24:32,11.50m,,42.0,14
46,The Romans: All Roads Lead to Rome,Sat,23 Jan 1965,5:40pm,00:23:14,11.50m,,51.0,15
47,The Seeds of Doom: Part Six,Sat,6 Mar 1976,5:47pm,00:21:51,11.50m,,,15
