Episode Title,Weekday,Length,Share,AI,Chart,Broadcast datetime,viewers_in_millions
An Unearthly Child,Sat,00:23:10,,63.0,114,1963-11-23 17:16:00,4.4
An Unearthly Child: The Cave of Skulls,Sat,00:24:37,,59.0,85,1963-11-30 17:29:00,5.9
An Unearthly Child: The Forest of Fear,Sat,00:23:38,,56.0,61,1963-12-07 17:15:00,6.9
An Unearthly Child: The Firemaker,Sat,00:24:23,,55.0,70,1963-12-14 17:15:00,6.4
The Daleks: The Dead Planet,Sat,00:24:22,,59.0,67,1963-12-21 17:15:00,6.9
The Daleks: The Survivors,Sat,00:24:27,,58.0,78,1963-12-28 17:15:00,6.4
The Daleks: The Escape,Sat,00:25:10,,62.0,45,1964-01-04 17:15:00,8.9
The Daleks: The Ambush,Sat,00:24:37,,63.0,29,1964-01-11 17:14:00,9.9
The Daleks: The Expedition,Sat,00:24:31,,63.0,27,1964-01-18 17:15:00,9.9
The Daleks: The Ordeal,Sat,00:26:14,,63.0,29,1964-01-25 17:15:00,10.4
The Daleks: The Rescue,Sat,00:22:24,,65.0,25,1964-02-01 17:17:00,10.4
The Edge of Destruction,Sat,00:25:04,,61.0,21,1964-02-08 17:15:00,10.4
The Edge of Destruction: The Brink of Disaster,Sat,00:22:11,,60.0,31,1964-02-15 17:16:00,9.9
Marco Polo: The Roof of the World,Sat,00:24:12,,63.0,33,1964-02-22 17:15:00,9.4
Marco Polo: The Singing Sands,Sat,00:26:34,,62.0,33,1964-02-29 17:15:00,9.4
Marco Polo: Five Hundred Eyes,Sat,00:22:20,,62.0,34,1964-03-07 17:16:00,9.4
Marco Polo: The Wall of Lies,Sat,00:24:48,,60.0,31,1964-03-14 17:15:00,9.9
Marco Polo: Rider From Shang-Tu,Sat,00:23:26,,59.0,37,1964-03-21 17:16:00,9.4
Marco Polo: Mighty Kublai Khan,Sat,00:25:36,,59.0,49,1964-03-28 17:29:00,8.4
Marco Polo: Assassin at Peking,Sat,00:24:48,,59.0,22,1964-04-04 17:30:00,10.4
The Keys of Marinus: The Sea of Death,Sat,00:23:20,,62.0,22,1964-04-11 17:31:00,9.9
The Keys of Marinus: The Velvet Web,Sat,00:25:37,,60.0,25,1964-04-18 17:31:00,9.4
The Keys of Marinus: The Screaming Jungle,Sat,00:23:45,,61.0,22,1964-04-25 17:29:00,9.9
The Keys of Marinus: The Snows of Terror,Sat,00:24:54,,60.0,20,1964-05-02 17:29:00,10.4
The Keys of Marinus: Sentence of Death,Sat,00:25:03,,61.0,29,1964-05-09 17:14:00,7.9
The Keys of Marinus,Sat,00:25:11,,63.0,43,1964-05-16 17:17:00,6.9
The Aztecs: The Temple of Evil,Sat,00:23:56,,62.0,25,1964-05-23 17:16:00,7.4
The Aztecs: The Warriors of Death,Sat,00:24:11,,62.0,34,1964-05-30 17:16:00,7.4
The Aztecs: The Bride of Sacrifice,Sat,00:25:27,,57.0,19,1964-06-06 17:14:00,7.9
The Aztecs: The Day of Darkness,Sat,00:25:30,,58.0,34,1964-06-13 17:14:00,7.4
The Sensorites: Strangers in Space,Sat,00:24:46,,59.0,17,1964-06-20 17:14:00,7.9
The Sensorites: The Unwilling Warriors,Sat,00:24:44,,59.0,39,1964-06-27 17:40:00,6.9
The Sensorites: Hidden Danger,Sat,00:24:53,,56.0,22,1964-07-11 17:15:00,7.4
The Sensorites: A Race Against Death,Sat,00:24:49,,60.0,58,1964-07-18 17:14:00,5.5
The Sensorites: Kidnap,Sat,00:24:17,,57.0,29,1964-07-25 17:15:00,6.9
The Sensorites: A Desperate Venture,Sat,00:24:29,,57.0,39,1964-08-01 17:14:00,6.9
The Reign Of Terror: A Land of Fear,Sat,00:24:24,,58.0,37,1964-08-08 17:15:00,6.9
The Reign Of Terror: Guests of Madame Guillotine,Sat,00:24:04,,54.0,35,1964-08-15 17:14:00,6.9
The Reign Of Terror: A Change of Identity,Sat,00:25:23,,55.0,34,1964-08-22 17:29:00,6.9
The Reign Of Terror: The Tyrant of France,Sat,00:24:46,,53.0,36,1964-08-29 17:15:00,6.4
The Reign Of Terror: A Bargain of Necessity,Sat,00:23:51,,53.0,39,1964-09-05 17:31:00,6.9
The Reign Of Terror: Prisoners of Conciergerie,Sat,00:25:04,,55.0,38,1964-09-12 17:29:00,6.4
Planet of Giants,Sat,00:23:15,,57.0,37,1964-10-31 17:13:00,8.4
Planet of Giants: Dangerous Journey,Sat,00:23:40,,58.0,45,1964-11-07 17:15:00,8.4
Planet of Giants: Crisis,Sat,00:26:35,,59.0,33,1964-11-14 17:15:00,8.9
The Dalek Invasion of Earth: World's End,Sat,00:23:42,,63.0,12,1964-11-21 17:40:00,11.4
The Dalek Invasion of Earth: The Daleks,Sat,00:24:19,,59.0,10,1964-11-28 17:41:00,12.4
The Dalek Invasion of Earth: Day of Reckoning,Sat,00:26:50,,59.0,10,1964-12-05 17:39:00,11.9
