child_number,gender,height,family
1,male,73.2,001
2,female,69.2,001
3,female,69.0,001
4,female,69.0,001
1,male,73.5,002
2,male,72.5,002
3,female,65.5,002
4,female,65.5,002
1,male,71.0,003
2,female,68.0,003
1,male,70.5,004
2,male,68.5,004
3,female,67.0,004
4,female,64.5,004
5,female,63.0,004
1,male,72.0,005
2,male,69.0,005
3,male,68.0,005
4,female,66.5,005
5,female,62.5,005
6,female,62.5,005
1,female,69.5,006
1,male,76.5,007
2,male,74.0,007
3,male,73.0,007
4,male,73.0,007
5,female,70.5,007
6,female,64.0,007
1,female,70.5,008
2,female,68.0,008
3,female,66.0,008
1,female,66.0,009
1,female,65.5,010
1,male,74.0,011
2,male,70.0,011
3,female,68.0,011
4,female,67.0,011
5,female,67.0,011
6,female,66.0,011
7,female,63.5,011
8,female,63.0,011
1,female,65.0,012
1,male,71.0,013
2,female,62.0,013
1,male,68.0,014
2,male,67.0,014
1,male,71.0,015
2,male,70.5,015
3,female,66.7,015
1,male,72.0,016
2,male,70.5,016
3,male,70.2,016
4,male,70.2,016
5,male,69.2,016
6,female,68.7,016
7,female,66.5,016
8,female,64.5,016
9,female,63.5,016
1,male,74.0,017
2,male,73.0,017
3,male,71.5,017
4,male,62.5,017
5,female,66.5,017
6,female,62.3,017
1,female,66.0,018
2,female,64.5,018
3,female,64.0,018
1,female,62.7,019
1,male,73.2,020
2,male,73.0,020
3,male,72.7,020
4,female,70.0,020
5,female,69.0,020
6,female,68.5,020
7,female,68.0,020
8,female,66.0,020
1,male,73.0,021
2,female,68.5,021
3,female,68.0,021
1,male,73.0,022
2,male,71.0,022
3,female,67.0,022
1,male,74.2,023
2,male,70.5,023
3,male,69.5,023
4,female,66.0,023
5,female,65.5,023
6,female,65.0,023
7,female,65.0,023
1,female,65.5,024
1,female,66.0,025
2,female,63.0,025
1,male,70.5,026
2,male,70.5,026
3,male,69.0,026
4,female,65.0,026
5,female,63.0,026
1,male,69.0,027
2,male,67.0,027
3,female,63.0,027
1,male,73.0,028
2,male,67.0,028
3,female,70.5,028
4,female,70.0,028
5,female,66.5,028
6,female,63.0,028
1,female,67.5,029
2,female,67.2,029
3,female,66.7,029
1,female,64.0,030
1,male,71.0,031
2,male,70.0,031
3,male,70.0,031
4,female,66.0,031
5,female,65.0,031
6,female,65.0,031
1,male,74.0,032
2,male,72.0,032
3,male,69.0,032
4,female,67.5,032
5,female,63.5,032
1,male,72.0,033
2,male,71.5,033
3,male,71.5,033
4,male,70.0,033
5,female,68.0,033
1,female,65.7,034
1,male,78.0,035
2,male,74.0,035
3,male,73.0,035
4,male,72.0,035
5,female,67.0,035
1,male,73.2,036
2,male,73.0,036
3,male,69.0,036
4,female,67.0,036
1,male,70.0,037
2,female,67.0,037
3,female,67.0,037
4,female,66.5,037
1,male,70.0,038
2,male,69.0,038
3,male,68.5,038
4,female,66.0,038
5,female,64.5,038
6,female,63.0,038
1,male,71.0,039
2,female,67.0,039
1,male,76.0,040
2,male,72.0,040
3,male,71.0,040
4,male,66.0,040
5,female,66.0,040
1,male,70.5,041
1,male,72.0,042
2,male,72.0,042
3,male,71.0,042
4,male,69.0,042
5,female,66.0,042
6,female,65.0,042
1,male,73.0,043
2,female,65.2,043
1,male,68.5,044
2,male,67.7,044
1,male,68.0,045
2,male,68.0,045
3,female,62.0,045
1,female,68.0,046
2,female,68.0,046
3,female,67.5,046
4,female,66.5,046
5,female,66.5,046
6,female,66.0,046
7,female,65.5,046
8,female,65.0,046
1,male,72.0,047
2,male,71.0,047
3,male,70.5,047
4,female,67.0,047
1,male,68.0,048
2,male,68.0,048
3,male,68.0,048
1,male,72.0,049
2,male,71.0,049
3,male,70.0,049
4,female,66.0,049
5,female,64.5,049
6,female,64.5,049
7,female,62.0,049
1,male,73.0,050
2,female,62.0,050
1,female,67.5,051
2,female,64.5,051
1,male,71.0,052
2,male,67.0,052
3,female,66.0,052
4,female,65.0,052
5,female,63.5,052
1,male,71.0,053
2,male,70.0,053
3,male,70.0,053
4,male,64.0,053
5,female,65.0,053
6,female,65.0,053
7,female,64.0,053
8,female,63.0,053
9,female,63.0,053
1,male,71.0,054
2,male,71.0,054
3,male,70.0,054
4,female,63.5,054
1,male,71.0,055
2,male,70.0,055
3,female,64.5,055
4,female,62.5,055
5,female,61.5,055
1,male,72.0,056
2,male,70.5,056
3,male,70.5,056
4,female,64.5,056
5,female,60.0,056
1,male,70.0,057
2,female,64.0,057
3,female,64.0,057
4,female,64.0,057
5,female,62.5,057
1,male,70.5,058
2,male,70.0,058
3,male,69.0,058
4,male,69.0,058
5,male,66.0,058
6,female,64.5,058
7,female,64.0,058
1,female,62.0,059
1,male,71.5,060
2,male,69.0,060
1,male,71.0,061
2,male,70.0,061
3,male,69.0,061
4,female,69.0,061
1,male,70.0,062
2,male,68.7,062
3,female,68.0,062
4,female,66.0,062
5,female,64.0,062
6,female,62.0,062
1,male,75.0,063
1,male,70.0,064
2,male,69.0,064
3,female,66.0,064
4,female,64.0,064
5,female,60.0,064
1,female,67.5,065
1,male,73.0,066
2,male,72.0,066
3,male,72.0,066
4,male,66.5,066
5,female,69.2,066
6,female,67.2,066
7,female,66.5,066
8,female,66.0,066
9,female,66.0,066
10,female,64.2,066
11,female,63.7,066
1,male,72.0,067
2,male,70.2,067
3,male,69.0,067
4,male,68.5,067
1,female,68.0,068
2,female,65.0,068
3,female,61.5,068
4,female,61.0,068
5,female,61.0,068
1,male,73.0,069
2,male,72.0,069
3,male,70.5,069
4,male,65.0,069
5,male,65.0,069
6,female,64.5,069
7,female,63.0,069
8,female,62.0,069
1,male,67.0,070
2,male,65.0,070
3,female,64.5,070
4,female,62.5,070
5,female,62.5,070
1,male,70.0,071
2,male,70.0,071
3,female,67.0,071
4,female,65.0,071
5,female,65.0,071
6,female,63.0,071
1,male,79.0,072
2,male,75.0,072
3,male,71.0,072
4,female,69.0,072
5,female,67.0,072
6,female,65.7,072
7,female,62.0,072
1,male,73.0,073
2,male,72.5,073
3,female,65.0,073
1,male,69.0,074
2,male,69.0,074
1,male,72.0,075
2,male,70.0,075
3,male,68.7,075
4,female,66.5,075
5,female,65.5,075
6,female,64.7,075
7,female,64.5,075
1,male,70.7,076
2,male,70.0,076
3,male,68.0,076
4,male,67.0,076
5,male,66.0,076
6,male,65.0,076
7,female,67.0,076
1,male,70.0,077
2,male,68.0,077
3,male,66.7,077
4,female,65.5,077
1,male,72.0,078
2,male,70.0,078
3,female,62.5,078
4,female,61.2,078
5,female,60.1,078
1,male,74.0,079
2,male,69.5,079
3,male,69.0,079
4,male,68.0,079
5,male,68.0,079
6,male,68.0,079
7,female,65.5,079
8,female,65.0,079
1,female,60.0,080
1,male,68.0,081
2,female,65.0,081
3,female,64.0,081
4,female,62.0,081
1,male,71.0,082
2,male,70.0,082
3,male,70.0,082
4,male,70.0,082
5,male,69.5,082
6,male,68.5,082
7,female,69.0,082
8,female,65.0,082
9,female,64.0,082
1,male,70.0,083
2,male,67.0,083
3,male,65.5,083
4,female,63.7,083
5,female,63.2,083
6,female,62.5,083
7,female,62.2,083
8,female,61.0,083
1,male,70.0,084
2,male,68.5,084
3,female,65.5,084
4,female,63.5,084
1,male,72.5,085
2,male,69.0,085
3,male,67.0,085
4,female,64.5,085
5,female,64.0,085
1,male,71.0,086
2,male,67.5,086
3,female,67.5,086
4,female,63.5,086
1,male,68.0,087
2,male,67.0,087
3,female,63.7,087
4,female,62.0,087
1,male,70.0,088
2,male,66.5,088
3,female,62.0,088
4,female,61.0,088
1,male,72.0,089
2,male,70.0,089
3,male,69.5,089
4,male,69.5,089
5,male,68.0,089
6,female,65.0,089
7,female,64.0,089
8,female,63.0,089
1,male,70.7,090
2,male,69.7,090
3,male,69.2,090
4,male,65.2,090
5,female,64.0,090
6,female,63.5,090
7,female,63.2,090
1,male,72.0,091
2,male,72.0,091
3,female,60.0,091
