Diameter of Parent Seed (0.01 inch),Diameter of Daughter Seed (0.01 inch)
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,14.67
21.0,15.67
21.0,15.67
21.0,15.67
21.0,15.67
21.0,15.67
21.0,15.67
21.0,15.67
21.0,15.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,16.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,17.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,18.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,19.67
21.0,20.67
21.0,20.67
21.0,20.67
21.0,20.67
21.0,20.67
21.0,20.67
21.0,22.67
21.0,22.67
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,14.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,15.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,16.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,17.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,18.66
20.0,19.66
20.0,19.66
