time,MB,MB_err,SMB,SMB_err,D,D_err,BMB,BMB_err
1840,99.921660,136.973670,515.317752,110.867988,392.992134,79.210818,22.403592,13.988520
1841,111.708250,130.820380,524.962345,103.732635,391.918385,78.534495,21.335710,13.634940
1842,-101.573660,130.737890,312.836025,102.580695,391.918385,79.834625,22.491300,14.002495
1843,-114.943610,136.159600,300.261775,110.019030,391.918385,78.934535,23.286635,14.304350
1844,-171.025944,135.679860,245.534760,109.418262,392.992134,78.920214,23.568570,14.432844
1845,-105.302500,151.993300,320.293705,127.227320,400.434930,81.764380,25.161275,15.157720
1846,83.828090,131.897495,502.706470,102.765385,397.439740,81.544650,21.438640,13.664140
1847,177.817415,135.639110,597.917450,107.948020,398.457360,80.974520,21.642675,13.724000
1848,-150.406968,152.541846,284.015268,126.004650,409.015248,84.605658,25.406988,15.289284
1849,54.050295,139.738060,482.473790,111.105270,405.775610,83.574415,22.647520,14.059070
1850,-53.404245,144.364070,377.848365,116.969360,407.291455,83.344465,23.961520,14.589780
1851,34.296130,139.952680,457.608895,112.973705,400.268855,81.374560,23.043910,14.208355
1852,-71.606802,151.904274,366.241194,124.616778,412.879842,85.548474,24.968520,15.068952
1853,-84.727450,146.902280,359.120580,116.407625,419.784675,88.404460,24.063355,14.635040
1854,-8.117965,151.427550,433.079070,123.219985,416.767585,86.764515,24.429450,14.802210
1855,72.259415,138.690875,509.729435,107.512575,415.273640,86.504635,22.196380,13.900660
1856,105.866964,149.073630,544.459038,121.133922,414.993126,85.678770,23.598948,14.445654
1857,-163.873320,154.026715,283.306065,125.122000,421.754945,88.514690,25.424805,15.292405
1858,-163.160840,144.356405,280.112315,114.048265,419.156510,87.274420,24.116645,14.658765
1859,-28.993775,132.058460,405.689470,100.930895,412.596000,84.024460,22.087245,13.864160
1860,-27.645810,143.275824,407.890896,115.207284,411.663990,83.923800,23.872716,14.562042
1861,56.295410,131.114935,486.419805,100.175710,408.532820,83.474405,21.591575,13.709035
1862,63.898360,132.474925,490.048270,103.703070,403.985650,81.254475,22.163895,13.889710
1863,137.673985,123.361970,546.231990,96.232250,387.963245,76.004680,20.594395,13.446235
1864,94.365780,125.103558,496.337358,100.778466,380.392584,72.843516,21.578994,13.725366
1865,-1.729005,121.689175,398.265005,97.160080,378.241835,71.964495,21.752540,13.757580
1866,-44.879305,120.557675,349.823665,96.948745,372.597840,70.304475,22.105130,13.870000
1867,-67.595445,133.998435,336.580370,111.200170,380.269775,73.334705,23.906040,14.565325
1868,143.873502,122.864370,543.150954,98.684946,378.040302,71.910948,21.237150,13.629474
1869,34.939260,128.482920,440.770715,104.339265,383.329935,73.654445,22.501885,14.006510
1870,-10.617120,130.429830,400.873660,105.441930,388.432635,75.444405,23.058510,14.213830
1871,-61.288975,142.599660,360.909810,117.894635,397.663485,78.834525,24.535300,14.851850
1872,-38.333010,151.922574,396.807684,126.496920,409.681002,82.730640,25.459692,15.316368
1873,70.819490,133.441810,497.021230,105.719330,403.747670,80.214590,22.454070,13.989355
1874,-56.748740,135.689480,376.962145,106.339830,410.495790,83.064510,23.215095,14.275880
1875,52.026005,134.509070,484.730950,105.121460,410.272045,82.744405,22.432900,13.982055
1876,20.975460,135.992790,454.268586,106.971918,410.455458,82.770534,22.838034,14.144802
1877,-249.598315,141.198790,186.356225,113.523760,410.935980,82.594390,25.018195,15.086180
1878,60.870320,136.774625,488.209035,110.542075,404.029085,79.264495,23.309265,14.313475
1879,4.885890,137.195470,435.453395,109.461675,407.168815,81.454495,23.399055,14.349975
1880,17.577516,139.512612,451.015944,112.577940,409.724190,81.116214,23.713872,14.493966
1881,-30.205575,131.971590,402.344975,102.673405,409.766885,81.704520,22.783665,14.109075
1882,-65.748180,129.378630,366.210340,99.367235,409.319395,81.654515,22.639125,14.055785
1883,-42.690035,135.087230,385.440000,107.492500,404.548845,80.534695,23.581190,14.425895
1884,19.906008,128.207604,443.839416,99.980586,401.741730,79.040628,22.191678,13.916784
1885,-40.535805,131.625570,382.446635,104.203120,399.828665,79.144410,23.154140,14.251425
1886,-37.924960,128.298595,382.246250,101.136755,397.288265,77.664700,22.882945,14.146305
1887,-38.104905,129.283365,382.764550,102.203650,397.901465,77.894650,22.967990,14.178790
1888,-51.207792,151.010136,384.182148,126.519612,409.514472,80.965788,25.875468,15.534504
1889,187.845425,137.429800,616.411270,111.070230,405.775610,79.694465,22.789870,14.111630
1890,-35.967465,131.449640,396.392190,102.970515,409.196755,80.454395,23.162900,14.255075
1891,-45.595800,140.153795,391.058445,112.707255,412.502195,82.004550,24.152050,14.674825
1892,-127.148400,139.021806,315.352920,109.683978,418.184646,84.134250,24.317040,14.760048
1893,-36.242675,142.493080,409.919820,113.663190,421.769180,84.654450,24.393315,14.785420
1894,-41.551600,131.071500,394.017865,101.597385,412.545630,81.584435,23.023835,14.200690
1895,99.781875,140.084445,538.272435,112.809455,414.970690,81.794675,23.520235,14.400345
1896,35.517006,138.125838,476.904222,109.030668,417.685056,83.552676,23.702160,14.489208
1897,-39.629145,135.934760,399.452350,107.331170,415.302475,82.144710,23.779020,14.509845
1898,194.576755,135.048540,626.661200,107.775010,409.564675,80.164585,22.519770,14.012715
1899,-55.184350,135.075185,376.811765,107.695805,408.056495,80.214590,23.939620,14.579925
1900,-224.297975,146.963235,220.618045,120.468250,418.687485,82.694400,26.228535,15.723105
1901,158.172385,133.297635,595.543125,104.391095,414.970690,81.704520,22.400050,13.970375
1902,-76.966820,146.048180,369.671635,119.422160,421.141380,82.664470,25.497075,15.330000
1903,-156.208320,130.881335,287.753955,99.392420,420.405175,83.924450,23.557100,14.415675
1904,-306.510726,139.814928,148.704702,108.952710,430.067934,86.300238,25.147494,15.157890
1905,-58.399270,135.573410,393.549570,104.379050,428.214350,85.294660,23.734855,14.490865
1906,-186.252200,139.174865,261.953200,109.734330,423.421900,84.284705,24.783135,14.970840
1907,-156.480975,133.929085,295.663140,102.409145,428.279320,85.074565,23.864795,14.547075
1908,-170.447298,144.509976,284.987730,116.301990,429.771108,84.375078,25.663920,15.422508
1909,-123.245900,140.052325,333.603795,108.780585,432.205625,86.944460,24.644435,14.904045
1910,-96.872095,136.193180,356.411915,105.825180,429.130865,84.464650,24.152780,14.675190
1911,58.093035,141.329460,512.638850,111.370990,430.422965,85.764415,24.122850,14.661685
1912,-155.856342,141.408126,301.973058,111.453222,432.658848,85.698534,25.170552,15.169236
1913,-95.274490,133.881635,359.220955,101.392255,430.827020,86.224680,23.668425,14.462760
1914,-12.131870,121.733705,428.028930,89.692545,418.333800,81.144610,21.827000,13.780575
1915,-45.094290,136.801635,397.027655,109.189385,417.677165,81.074530,24.445145,14.809510
1916,122.963190,138.143406,564.780456,110.805402,417.880500,81.196368,23.936766,14.589858
1917,-149.296680,135.966880,294.776920,108.672180,419.207245,80.324455,24.866355,15.011355
1918,-7.375190,124.625965,426.657990,95.818705,411.311565,78.434485,22.721615,14.086080
1919,-12.746165,121.952705,416.993155,93.542200,407.284155,76.984705,22.455165,13.989720
1920,-58.893426,128.793204,378.380682,100.289490,413.769954,79.511670,23.504154,14.406492
1921,-82.388530,127.888335,351.061015,100.069130,409.846455,78.314400,23.603090,14.435020
1922,96.286635,122.529770,522.236890,94.911680,403.877610,76.244485,22.073010,13.859415
1923,-132.652680,135.116795,297.753495,110.439875,405.155110,76.344495,25.251065,15.203345
1924,-251.103816,131.671428,187.487160,103.771614,413.596104,79.632084,24.994872,15.082128
1925,39.847780,125.788855,475.801955,97.368130,413.259935,78.384480,22.694240,14.075860
1926,-335.347400,139.998305,114.053375,112.455040,423.017845,81.874610,26.382930,15.808880
1927,-81.667655,141.637520,373.434055,113.100725,429.534920,83.864590,25.566790,15.366135
1928,-288.917472,153.562620,187.654788,124.524912,448.942188,88.326048,27.630072,16.539906
1929,-184.960830,146.307695,291.115240,114.869515,450.104495,89.264400,25.971575,15.581850
1930,-130.652845,143.713275,346.295210,111.502025,451.576905,89.374630,25.371515,15.265030
1931,-517.145505,156.498495,-17.860910,124.152560,470.796345,93.734555,28.487885,17.078715
1932,-101.595012,149.905914,394.543974,115.240590,470.240826,94.602948,25.898526,15.546948
1933,-182.872665,148.571425,313.153575,113.497115,470.110875,94.604715,25.915365,15.551920
1934,-167.061595,144.160400,321.313880,109.472625,462.972935,92.544655,25.402540,15.280725
1935,-365.836945,146.866875,125.707825,112.793760,464.972040,92.704525,26.572730,15.916190
1936,-236.022420,152.002362,261.513954,117.742932,470.740050,94.783386,26.796324,16.046172
1937,-183.568355,140.153430,299.776690,105.397035,458.238155,91.134660,25.106525,15.130345
1938,-96.921735,136.340275,380.457020,102.458785,453.099685,88.734420,24.279070,14.732495
1939,-34.846915,149.772275,446.505960,120.060910,454.896580,88.124505,26.456295,15.850490
1940,-32.957568,139.390002,444.258486,106.015194,452.763228,89.278380,24.453192,14.822634
1941,-81.096065,146.366460,394.552955,116.022915,449.642405,87.854405,26.006615,15.601195
1942,-32.978115,140.638515,436.088860,109.317500,444.034545,87.184630,25.032065,15.093115
1943,-191.817720,133.925070,275.999130,102.125540,443.016925,85.334445,24.799925,14.978870
