triple,vertical
382.34,33.02
398.58,33.02
430.74,35.56
437.43,33.02
445.71,33.02
446.67,35.56
438.7,40.64
467.37,40.64
479.47,40.64
495.39,38.1
496.03,38.1
528.51,40.64
528.51,43.18
453.35,45.72
467.37,45.72
555.58,48.26
573.42,48.26
621.51,50.8
647.62,53.34
423.1,53.34
502.4,53.34
544.44,53.34
555.58,53.34
576.28,53.34
588.38,53.34
581.38,55.88
586.47,55.88
606.54,55.88
537.43,58.42
780.42,58.42
743.8,60.96
673.42,60.96
631.38,60.96
605.58,60.96
641.25,63.5
680.42,66.04
691.57,68.58
649.21,71.12
