Variable,onegrams,twograms,threegrams,wordcount,rspanabsolute,rspantotal,sixletters,auxverbs,presentverbs,pronouns,personalpronouns,articles,negation,certainty,punctuation,condition,whichtalk,relatedknowledge,year,GPA,concentration,SATreading,SATmath,SATwriting,SATcombined,laptopornotebook,betterlorn,objectiveZ,openZ,openandobjectiveZ,rawobjective,rawopen,openZ,condition,whichtalk,,,,
,0.86875,0.42138,0.18987,167,18,30,40.12,2.4,1.2,3.59,1.2,2.4,2.4,2.99,16.77,0,1,3,2,3.3,Physics,650,800,730,2180,0,6,-1.05,-1.35,-1.2,4,2,-1.35,0,1,6.258064516,5.794117647,-0.251935484,0.259117647
,0.77437,0.38547,0.17647,325,51,70,29.23,4.62,2.77,4.62,2.15,10.46,1.54,0.62,3.08,0,1,2,1,3.4,Politics,740,700,660,2100,2,7,-0.3,-0.86,-0.58,7,3,-0.86,0,1,,,,
,0.44311,0.10843,0.01212,159,27,54,30.19,2.52,2.52,1.89,0.63,0,3.77,2.52,28.93,0,1,2,2,3.8,Economics,780,800,760,2340,2,5,-0.68,-0.86,-0.77,6,3,-0.86,0,1,,,,
,0.79386,0.3348,0.11504,223,34,57,33.18,5.38,2.69,2.69,0.45,4.04,4.04,2.24,6.73,0,1,2,4,,undecided,740,770,800,2310,2,5,-0.3,-0.86,-0.58,7,3,-0.86,0,1,-4.78,,,
,0.66995,0.19802,0.06468,213,28,60,34.74,5.16,6.57,1.88,0,0,3.76,1.41,29.58,1,1,1,1,3.8,MOL,790,750,770,2310,2,6,0.07,-0.86,-0.4,7,3,-0.86,1,1,5.83,,,
,0.86468,0.43908,0.17972,477,26,48,21.59,9.58,7.35,10.27,3.98,9.43,0.84,0.84,9.22,0,1,3,3,,Possibly Psychology,,,,,3,4,-1.05,0.11,-0.47,2,4,0.11,0,1,5.45,,,
,0.69582,0.26718,0.08046,244,38,61,31.97,5.33,6.15,4.1,0.82,3.69,2.46,1.23,17.62,1,1,1,2,3.3,Chemical and Biological Engineering,800,790,710,2300,1,2,2.18,-0.38,0.9,12,4,-0.38,1,1,-1.11,,,
,0.83077,0.31481,0.11146,335,41,60,29.55,9.55,3.58,5.37,0.9,2.69,2.09,1.49,14.93,1,1,2,2,3.3,Economics,800,800,800,2400,1,1,0.69,-0.38,0.16,10,4,-0.38,1,1,-5.02,,,
,0.78788,0.2766,0.10671,333,19,42,36.94,5.41,5.11,4.5,1.5,2.7,3.6,1.5,22.52,1,1,4,3,,,,,,,2,7,-0.06,-0.38,-0.22,8,4,-0.38,1,1,0.37,,,
,0.8139,0.3806,0.13716,420,44,66,38.81,4.76,5.24,4.29,1.43,2.86,1.67,0.48,22.86,0,1,1,4,,Economics,800,800,750,2350,1,2,1.19,0.11,0.65,9,5,0.11,0,1,,,,
