title,year,budget,gross,country,imdb_score,facebook_likes
The Shawshank Redemption,1994,25000000,28341469,USA,9.3,108000
The Godfather,1972,6000000,134821952,USA,9.2,43000
The Dark Knight,2008,185000000,533316061,USA,9.0,37000
The Godfather: Part II,1974,13000000,57300000,USA,9.0,14000
Pulp Fiction,1994,8000000,107930000,USA,8.9,45000
Schindler's List,1993,22000000,96067179,USA,8.9,41000
"The Good, the Bad and the Ugly",1966,1200000,6100000,Italy,8.9,20000
The Lord of the Rings: The Return of the King,2003,94000000,377019252,USA,8.9,16000
Inception,2010,160000000,292568851,USA,8.8,175000
The Lord of the Rings: The Fellowship of the Ring,2001,93000000,313837577,New Zealand,8.8,21000
Forrest Gump,1994,55000000,329691196,USA,8.8,59000
Star Wars: Episode V - The Empire Strikes Back,1980,18000000,290158751,USA,8.8,17000
Fight Club,1999,63000000,37023395,USA,8.8,48000
The Matrix,1999,63000000,171383253,USA,8.7,25000
City of God,2002,3300000,7563397,Brazil,8.7,28000
Seven Samurai,1954,2000000,269061,Japan,8.7,11000
The Lord of the Rings: The Two Towers,2002,94000000,340478898,USA,8.7,10000
One Flew Over the Cuckoo's Nest,1975,4400000,112000000,USA,8.7,32000
Star Wars: Episode IV - A New Hope,1977,11000000,460935665,USA,8.7,33000
Goodfellas,1990,25000000,46836394,USA,8.7,25000
The Usual Suspects,1995,6000000,23272306,USA,8.6,28000
Se7en,1995,33000000,100125340,USA,8.6,39000
Spirited Away,2001,19000000,10049886,Japan,8.6,28000
Saving Private Ryan,1998,70000000,216119491,USA,8.6,22000
Interstellar,2014,165000000,187991439,USA,8.6,349000
The Silence of the Lambs,1991,19000000,130727000,USA,8.6,40000
American History X,1998,7500000,6712241,USA,8.6,35000
Modern Times,1936,1500000,163245,USA,8.6,0
The Prestige,2006,40000000,53082743,USA,8.5,49000
Back to the Future,1985,19000000,210609762,USA,8.5,39000
The Lives of Others,2006,2000000,11284657,Germany,8.5,39000
Django Unchained,2012,100000000,162804648,USA,8.5,199000
Psycho,1960,806947,32000000,USA,8.5,18000
Alien,1979,11000000,78900000,UK,8.5,23000
The Green Mile,1999,60000000,136801374,USA,8.5,30000
Gladiator,2000,103000000,187670866,USA,8.5,21000
The Pianist,2002,35000000,32519322,France,8.5,21000
Raiders of the Lost Ark,1981,18000000,242374454,USA,8.5,16000
The Departed,2006,90000000,132373442,USA,8.5,29000
The Dark Knight Rises,2012,250000000,448130642,USA,8.5,164000
Terminator 2: Judgment Day,1991,102000000,204843350,USA,8.5,13000
Memento,2000,9000000,25530884,USA,8.5,40000
Children of Heaven,1997,180000,925402,Iran,8.5,0
The Lion King,1994,45000000,422783777,USA,8.5,17000
Samsara,2011,4000000,2601847,USA,8.5,26000
Apocalypse Now,1979,31500000,78800000,USA,8.5,19000
Whiplash,2014,3300000,13092000,USA,8.5,129000
Braveheart,1995,72000000,75600000,USA,8.4,17000
