Forename,Surname,Name (Display as),Name (List as),Party,Constituency,Address1,Address2,Postcode,Email
Diane,Abbott,Ms Diane Abbott,"Abbott, Ms Diane",Labour,Hackney North and Stoke Newington,House of Commons,London,SW1A 0AA,diane.abbott.office@parliament.uk
Deborah,Abrahams,Debbie Abrahams,"Abrahams, Debbie",Labour,Oldham East and Saddleworth,House of Commons,London,SW1A 0AA,abrahamsd@parliament.uk
Nigel,Adams,Nigel Adams,"Adams, Nigel",Conservative,Selby and Ainsty,House of Commons,London,SW1A 0AA,nigel.adams.mp@parliament.uk
Abimbola,Afolami,Bim Afolami,"Afolami, Bim",Conservative,Hitchin and Harpenden,House of Commons,London,SW1A 0AA,bim.afolami.mp@parliament.uk
Adam,Afriyie,Adam Afriyie,"Afriyie, Adam",Conservative,Windsor,House of Commons,London,SW1A 0AA,adam.afriyie.mp@parliament.uk
Imran,Ahmad Khan,Imran Ahmad Khan,"Ahmad Khan, Imran",Conservative,Wakefield,House of Commons,London,SW1A 0AA,imran.mp@parliament.uk
Nicola,Aiken,Nickie Aiken,"Aiken, Nickie",Conservative,Cities of London and Westminster,House of Commons,London,SW1A 0AA,nickie.aiken.mp@parliament.uk
Peter,Aldous,Peter Aldous,"Aldous, Peter",Conservative,Waveney,House of Commons,London,SW1A 0AA,peter.aldous.mp@parliament.uk
Rushanara,Ali,Rushanara Ali,"Ali, Rushanara",Labour,Bethnal Green and Bow,House of Commons,London,SW1A 0AA,rushanara.ali.mp@parliament.uk
Tahir,Ali,Tahir Ali,"Ali, Tahir",Labour,"Birmingham, Hall Green",House of Commons,London,SW1A 0AA,tahir.ali.mp@parliament.uk
Lucy,Allan,Lucy Allan,"Allan, Lucy",Conservative,Telford,House of Commons,London,SW1A 0AA,lucy.allan.mp@parliament.uk
Rosena,Allin-Khan,Dr Rosena Allin-Khan,"Allin-Khan, Dr Rosena",Labour,Tooting,House of Commons,London,SW1A 0AA,rosena.allinkhan.mp@parliament.uk
Michael,Amesbury,Mike Amesbury,"Amesbury, Mike",Labour,Weaver Vale,House of Commons,London,SW1A 0AA,mike.amesbury.mp@parliament.uk
David,Amess,Sir David Amess,"Amess, Sir David",Conservative,Southend West,House of Commons,London,SW1A 0AA,amessd@parliament.uk
Fleur,Anderson,Fleur Anderson,"Anderson, Fleur",Labour,Putney,House of Commons,London,SW1A 0AA,fleur.anderson.mp@parliament.uk
Lee,Anderson,Lee Anderson,"Anderson, Lee",Conservative,Ashfield,House of Commons,London,SW1A 0AA,lee.anderson.mp@parliament.uk
Stuart,Anderson,Stuart Anderson,"Anderson, Stuart",Conservative,Wolverhampton South West,House of Commons,London,SW1A 0AA,stuart.anderson.mp@parliament.uk
Stuart,Andrew,Stuart Andrew,"Andrew, Stuart",Conservative,Pudsey,House of Commons,London,SW1A 0AA,stuart.andrew.mp@parliament.uk
Caroline,Ansell,Caroline Ansell,"Ansell, Caroline",Conservative,Eastbourne,House of Commons,London,SW1A 0AA,caroline.ansell.mp@parliament.uk
Antonia,Antoniazzi,Tonia Antoniazzi,"Antoniazzi, Tonia",Labour,Gower,House of Commons,London,SW1A 0AA,tonia.antoniazzi.mp@parliament.uk
Edward,Argar,Edward Argar,"Argar, Edward",Conservative,Charnwood,House of Commons,London,SW1A 0AA,edward.argar.mp@parliament.uk
Jonathan,Ashworth,Jonathan Ashworth,"Ashworth, Jonathan",Labour,Leicester South,House of Commons,London,SW1A 0AA,jon.ashworth.mp@parliament.uk
Sarah,Atherton,Sarah Atherton,"Atherton, Sarah",Conservative,Wrexham,House of Commons,London,SW1A 0AA,sarah.atherton.mp@parliament.uk
Victoria,Atkins,Victoria Atkins,"Atkins, Victoria",Conservative,Louth and Horncastle,House of Commons,London,SW1A 0AA,Victoria@victoriaatkins.org.uk
Gareth,Bacon,Gareth Bacon,"Bacon, Gareth",Conservative,Orpington,House of Commons,London,SW1A 0AA,gareth.bacon.mp@parliament.uk
Richard,Bacon,Mr Richard Bacon,"Bacon, Mr Richard",Conservative,South Norfolk,House of Commons,London,SW1A 0AA,richardbaconmp@parliament.uk
