MP name,Constituency,Office maximum budget available,Reason for budget set,Office spend,Remaining office budget,First part of the Postcode,Staffing maximum budget available,Reason for budget set,Staffing spend,Remaining staffing budget,Start-up maximum budget available,Reason for budget set,Startup spend,Remaining startup budget,Wind-up maximum budget available,Reason for budget set,Windup spend,Remaining windup budget,Subtotal of office running costs,Accommodation maximum budget available,Reason for budget set,Did the MP rent their accommodation from another MP during this financial year?,Accommodation spend,Remaining budget,First part of the Postcode,Travel/subsistence max budget,Travel/subs spend,Other costs maximum budget available,Other spend,Subtotal of other parliamentary costs,Overall total spend for this financial year
"Aaron Bell","Newcastle-under-Lyme BC","","","£12,909.25","£0.00","","","","£2,193.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£15,102.25","","","","£0.00","£0.00","","Uncapped","£3,217.81","Uncapped","£0.00","£3,217.81","£18,320.06"
"Abena Oppong-Asare","Erith and Thamesmead BC","","","£8,996.17","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,996.17","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£8,996.17"
"Adam Afriyie","Windsor CC","","","£0.00","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£3,047.00","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£3,047.00"
"Adam Holloway","Gravesham CC","","","£5,784.35","£0.00","","","","£6,385.75","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£12,170.10","","","","£0.00","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£0.00","£12,170.10"
"Afzal Khan","Manchester, Gorton BC","","","£4,376.91","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£4,376.91","","","","£5,940.99","£0.00","","Uncapped","£209.90","Uncapped","£0.00","£6,150.89","£10,527.80"
"Alan Brown","Kilmarnock and Loudoun CC","","","£6,026.24","£0.00","","","","£5,550.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£11,576.24","","","","£3,411.86","£0.00","","Uncapped","£1,223.42","Uncapped","£0.00","£4,635.28","£16,211.52"
"Alan Campbell","Tynemouth BC","","","£4,525.14","£0.00","","","","£3,600.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£8,125.14","","","","£4,424.14","£0.00","","Uncapped","£1,517.40","Uncapped","£0.00","£5,941.54","£14,066.68"
"Alan Mak","Havant BC","","","£17,433.96","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£20,480.96","","","","£2,560.00","£0.00","","Uncapped","£175.50","Uncapped","£0.00","£2,735.50","£23,216.46"
"Alan Whitehead","Southampton, Test BC","","","£10,785.58","£0.00","","","","£0.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£10,785.58","","","","£6,083.63","£0.00","","Uncapped","£0.00","Uncapped","£0.00","£6,083.63","£16,869.21"
"Alberto Costa","South Leicestershire CC","","","£680.62","£0.00","","","","£3,047.00","£0.00","n/a","","£0.00","£0.00","n/a","","£0.00","£0.00","£3,727.62","","","","£8,047.45","£0.00","","Uncapped","£928.63","Uncapped","£0.00","£8,976.08","£12,703.70"
