MP name,Party,Office,Staffing,Windup,Accommodation,Travel,Other,Total
Diane Abbott,Labour,9879.61,37.6,0.0,0.0,0.0,0.0,9917.21
Debbie Abrahams,Labour,7011.08,0.0,0.0,7726.22,0.0,0.0,14737.3
Nigel Adams,Conservative,1797.64,3050.0,0.0,7100.0,99.0,0.0,12046.64
Bim Afolami,Conservative,10929.49,0.0,0.0,4506.0,0.0,0.0,15435.49
Adam Afriyie,Conservative,0.0,3047.0,0.0,0.0,0.0,0.0,3047.0
Imran Ahmad-Khan,Conservative,34473.52,4440.0,0.0,6500.0,282.48,0.0,45696.0
Nickie Aiken,Conservative,14218.99,6131.8,0.0,0.0,0.0,0.0,20350.79
Peter Aldous,Conservative,11609.71,0.0,0.0,1434.0,1456.0,0.0,14499.71
Rushanara Ali,Labour,10124.02,3600.0,0.0,0.0,0.0,0.0,13724.02
Tahir Ali,Labour,1377.93,0.0,0.0,0.0,0.0,0.0,1377.93
Lucy Allan,Conservative,8931.26,438.6,0.0,5621.75,142.0,0.0,15133.61
Rosena Allin-Khan,Labour,11082.45,8610.0,0.0,0.0,57.42,0.0,19749.87
Mike Amesbury,Labour,7039.96,0.0,0.0,6054.79,2170.3,0.0,15265.05
David Amess,Conservative,9648.31,0.0,0.0,0.0,2059.5,0.0,11707.81
Fleur Anderson,Labour,6613.5,4927.2,0.0,0.0,0.0,0.0,11540.7
Lee Anderson,Conservative,11924.08,3049.0,0.0,6699.28,1623.05,0.0,23295.41
Stuart Anderson,Conservative,7999.17,7265.6,0.0,6842.95,1104.87,0.0,23212.59
Stuart Andrew,Conservative,5497.06,3097.0,0.0,7000.0,707.7,500.02,16801.78
Caroline Ansell,Conservative,2262.14,18649.0,0.0,0.0,2601.9,0.0,23513.04
Tonia Antoniazzi,Labour,8206.0,0.0,0.0,5568.25,884.3,0.0,14658.55
Edward Argar,Conservative,1218.15,3047.0,0.0,6507.96,0.0,0.0,10773.11
Jonathan Ashworth,Labour,2401.68,3600.0,0.0,7436.74,1381.5,0.0,14819.92
Sarah Atherton,Conservative,10098.18,3487.6,0.0,5286.79,1190.76,0.0,20063.33
Victoria Atkins,Conservative,1195.76,3047.0,0.0,3750.0,0.0,0.0,7992.76
Gareth Bacon,Conservative,3698.97,3049.0,0.0,0.0,0.0,0.0,6747.97
Richard Bacon,Conservative,11492.91,3450.0,0.0,4827.74,1088.55,0.0,20859.2
Kemi Badenoch,Conservative,8664.77,1477.5,0.0,4161.9,0.0,330.0,14634.17
Shaun Bailey,Conservative,14202.36,360.0,0.0,6803.03,1227.77,0.0,22593.16
Siobhan Baillie,Conservative,4504.54,3049.0,0.0,4847.29,0.0,0.0,12400.83
Duncan Baker,Conservative,1396.47,7267.61,0.0,7500.0,606.6,0.0,16770.68
Steve Baker,Conservative,7748.82,0.0,0.0,97.0,135.5,0.0,7981.32
Harriett Baldwin,Conservative,5712.84,3050.0,0.0,1230.69,1043.55,0.0,11037.08
Stephen Barclay,Conservative,7229.08,284.04,0.0,0.0,160.8,0.0,7673.92
Hannah Bardell,Scottish National Party,5603.0,65.99,0.0,5806.37,240.9,0.0,11716.26
Paula Barker,Labour,5400.0,0.0,0.0,10946.68,590.8,0.0,16937.48
John Baron,Conservative,3069.46,0.0,0.0,0.0,0.0,0.0,3069.46
Simon Baynes,Conservative,10035.58,0.0,0.0,0.0,1591.2,0.0,11626.78
Margaret Beckett,Labour,1225.14,0.0,0.0,0.0,936.0,0.0,2161.14
Órfhlaith Begley,Sinn Féin,6993.26,0.0,0.0,0.0,0.0,0.0,6993.26
Apsana Begum,Labour,8305.46,0.0,0.0,0.0,0.0,0.0,8305.46
Aaron Bell,Conservative,12909.25,2193.0,0.0,0.0,3217.81,0.0,18320.06
Hilary Benn,Labour,3731.49,0.0,0.0,1473.15,274.5,0.0,5479.14
Scott Benton,Conservative,6318.44,3049.0,0.0,6177.61,2771.0,0.0,18316.05
Paul Beresford,Conservative,2651.63,4432.0,0.0,0.0,133.65,0.0,7217.28
Jake Berry,Conservative,4933.76,3050.0,0.0,6759.84,674.55,0.0,15418.15
Clive Betts,Labour,4881.57,0.0,0.0,4458.48,0.0,0.0,9340.05
Saqib Bhatti,Conservative,5783.88,3049.0,0.0,8108.48,1151.4,0.0,18092.76
Mhairi Black,Scottish National Party,3189.56,0.0,0.0,4644.35,50.85,0.0,7884.76
Ian Blackford,Scottish National Party,5288.41,5550.0,0.0,8369.91,-1507.49,0.0,17700.83
Bob Blackman,Conservative,16826.18,3050.0,0.0,0.0,82.55,0.0,19958.73
Kirsty Blackman,Scottish National Party,3670.32,0.0,0.0,9139.95,0.0,0.0,12810.27
Olivia Blake,Labour,4293.27,3600.0,0.0,7366.68,314.79,0.0,15574.74
Paul Blomfield,Labour,1397.95,0.0,0.0,5370.0,0.0,0.0,6767.95
Crispin Blunt,Conservative,12002.64,0.0,0.0,0.0,279.45,0.0,12282.09
Peter Bone,Conservative,8304.9,0.0,0.0,7893.06,1105.5,0.0,17303.46
Steven Bonnar,Scottish National Party,5714.65,240.0,0.0,5020.0,0.0,0.0,10974.65
Peter Bottomley,Conservative,5739.91,0.0,0.0,0.0,0.0,0.0,5739.91
Andrew Bowie,Conservative,8933.74,0.0,0.0,5268.04,4138.02,0.0,18339.8
Tracy Brabin,Labour,12485.63,0.0,0.0,3043.07,908.5,0.0,16437.2
Ben Bradley,Conservative,8440.18,0.0,0.0,11306.01,963.22,0.0,20709.41
Karen Bradley,Conservative,5175.27,3056.0,0.0,14000.0,1501.1,0.0,23732.37
Ben Bradshaw,Labour,5122.91,3600.0,0.0,4670.33,0.0,0.0,13393.24
Mickey Brady,Sinn Féin,6303.4,0.0,0.0,350.0,0.0,0.0,6653.4
Graham Brady,Conservative,4946.59,0.0,0.0,3422.5,3635.67,0.0,12004.76
Suella Braverman,Conservative,12207.67,3050.0,0.0,1078.27,184.01,0.0,16519.95
Kevin Brennan,Labour,5263.71,0.0,0.0,5029.07,969.65,0.0,11262.43
Jack Brereton,Conservative,13958.42,5847.0,0.0,5642.55,2092.9,0.0,27540.87
Andrew Bridgen,Conservative,11193.56,5050.0,0.0,9722.35,422.95,0.0,26388.86
Steve Brine,Conservative,9066.27,3050.0,0.0,175.0,592.3,0.0,12883.57
Paul Bristow,Conservative,7687.85,6729.0,0.0,4500.0,2232.74,0.0,21149.59
Sara Britcliffe,Conservative,3221.97,3650.0,0.0,5359.5,2173.9,0.0,14405.37
Deidre Brock,Scottish National Party,6643.61,0.0,0.0,5874.59,831.0,0.0,13349.2
James Brokenshire,Conservative,1542.08,3050.0,0.0,0.0,0.0,0.0,4592.08
Alan Brown,Scottish National Party,6026.24,5550.0,0.0,3411.86,1223.42,0.0,16211.52
Nicholas Brown,Labour,3575.49,0.0,0.0,2901.27,1325.5,0.0,7802.26
Lyn Brown,Labour,4807.12,0.0,0.0,0.0,0.0,0.0,4807.12
Anthony Browne,Conservative,15889.65,3049.0,0.0,0.0,902.66,0.0,19841.31
Fiona Bruce,Conservative,17961.97,1000.0,0.0,1648.45,1938.1,0.0,22548.52
Chris Bryant,Labour,7458.43,0.0,0.0,5409.32,980.42,0.0,13848.17
Felicity Buchan,Conservative,10025.53,0.0,0.0,0.0,0.0,0.0,10025.53
Karen Buck,Labour,4287.45,3600.0,0.0,0.0,0.0,0.0,7887.45
Robert Buckland,Conservative,7741.73,4747.0,0.0,5000.32,246.45,0.0,17735.5
Alex Burghart,Conservative,2400.72,3073.0,0.0,0.0,0.0,0.0,5473.72
