"R0000100","R0000300","R0000500","R0173600","R0214700","R0214800","R0410100","R0410300","R0614800","R0614900","R0615100","R0615200","R0615300","R0615400","R0615700","R0618011","R0618017","R0618100","R0618200","R0618300","R0810200","R3127500","R3127800","R3401000","R3523200","R3523500","R3559000","R3656400","R3728200","R3728500","R3897100","R4006900","R4182300","R4295100","R4416800","R4418000","R4982800","R5079800","R5081000"
1,9,58,5,3,2,9,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,1,59,5,3,2,1,59,51,1,8,15,6,29,6,36,38,35,12,9,2,1,1098,1,1,1098,20000,1,1,1263,22000,1,1,25000,1373,4,0,-4,7
3,8,61,5,3,2,-5,-5,51,0,13,29,12,46,13,43,49,54,51,46,2,3,636,6,3,82,4000,2,3,153,4000,1,3,6000,581,4,0,-4,7
4,8,62,5,3,2,8,62,51,0,18,29,12,46,10,50,44,54,62,48,2,1,1428,6,-5,-5,-5,-5,1,1528,30500,1,1,33000,1250,1,-5,-5,-5
5,7,59,1,3,1,7,59,51,1,30,35,13,35,25,66,68,60,90,99,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,10,60,1,3,1,10,60,51,1,30,35,15,45,23,66,65,62,99,99,1,1,1105,1,1,1298,25000,1,1,1250,26000,1,2,28000,1586,1,32500,1682,1
7,6,64,1,3,1,6,64,51,0,14,27,8,32,11,45,46,48,33,35,1,-4,-4,8,-4,-4,1500,8,-4,-4,1000,8,1,0,852,1,27000,1052,7
8,7,58,6,3,2,7,58,51,1,13,35,12,24,4,43,35,59,43,42,2,1,777,1,1,775,17900,1,1,820,18000,1,1,18000,831,1,20500,907,1
9,7,63,1,3,1,7,63,51,0,21,28,10,40,13,54,49,51,55,51,1,1,1090,1,1,961,25000,1,1,1000,25000,1,1,19000,961,7,20000,545,1
10,10,60,6,3,2,10,60,51,0,15,15,11,40,9,46,43,39,27,21,2,1,550,1,1,685,12000,1,1,700,18000,1,1,12000,755,1,15000,635,1
11,7,59,1,3,1,7,59,51,1,21,34,15,32,20,54,60,61,71,81,1,1,3205,1,1,2884,61000,1,1,2884,55000,1,1,60000,2307,1,80000,3205,1
12,9,59,5,3,2,9,59,51,1,27,35,13,46,21,62,62,60,94,89,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,40000,2564,1,42600,2967,1
13,8,58,1,3,1,8,58,51,1,30,29,13,36,24,66,66,54,78,85,1,1,1398,1,1,1474,46000,1,1,1230,42000,1,1,46000,1166,1,41000,2000,1
14,10,63,5,3,2,10,63,51,0,26,32,15,44,25,61,68,59,88,92,2,1,1298,1,1,1486,25000,1,1,1565,31000,1,1,28000,1620,1,29000,540,1
15,2,64,1,3,1,2,64,51,0,25,32,14,43,12,59,48,58,83,69,1,-4,-4,3,1,960,2000,1,1,1090,30000,1,1,26000,1346,1,30000,1442,1
16,10,58,5,3,2,10,58,51,1,17,30,12,49,17,49,55,54,63,57,2,1,1978,1,1,1802,35000,1,1,2087,37500,1,1,34000,2250,1,28000,2400,1
17,1,57,1,3,1,1,57,51,1,29,33,13,35,21,65,62,58,84,88,1,3,1000,1,3,469,12000,1,1,1250,15000,2,1,12000,700,1,16073,1098,1
18,3,58,1,3,1,3,58,51,1,30,35,14,48,23,66,65,61,99,98,1,1,-4,1,1,-4,100000,1,1,-4,4115087,1,1,156359,5048,1,167697,6043,1
19,12,57,5,3,2,12,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-4,-4,4,-4,-4,0,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
20,11,59,5,3,2,11,59,51,1,17,28,14,39,20,49,60,54,54,63,2,1,1634,2,1,1800,24000,1,1,1682,35000,1,1,38000,1826,1,40800,2009,1
21,6,61,5,3,2,6,61,51,1,29,33,13,49,25,65,68,58,94,94,2,1,1495,1,1,1223,32000,1,1,1461,35000,1,1,41000,1576,1,50500,1904,1
22,1,63,5,3,2,1,63,51,1,27,31,14,42,22,62,63,57,84,84,2,1,745,2,1,805,16200,1,1,846,17600,1,1,17900,930,1,17700,972,1
23,9,58,1,3,1,9,58,51,1,29,35,11,46,23,65,65,58,94,91,1,-5,-5,-5,1,1643,50000,1,1,1748,45000,1,-5,-5,-5,-5,-5,-5,-5
24,1,61,1,3,1,1,61,51,0,22,33,13,31,10,55,44,58,66,61,1,1,1282,1,-5,-5,-5,-5,1,1337,11000,1,1,32000,1442,1,35000,1435,1
25,11,59,5,3,2,11,59,51,1,20,27,11,48,18,53,57,51,60,57,2,1,1201,1,1,1243,22000,1,1,1243,8400,4,1,8000,641,2,12000,1250,2
26,9,62,1,3,1,9,62,51,1,29,33,14,50,25,65,68,59,96,96,1,-4,-4,8,-4,-4,0,8,-4,-4,0,8,-4,0,-4,8,-5,-5,-5
27,5,60,5,3,2,5,60,51,1,28,34,14,34,25,64,68,60,85,97,2,-4,-4,4,-4,-4,0,7,-4,-4,0,4,3,0,436,1,0,-4,7
28,1,64,5,3,2,1,64,51,0,30,33,12,45,25,66,68,57,93,93,2,1,833,1,1,1000,23000,1,1,275,13000,1,1,25000,1400,1,20000,1000,1
29,10,60,5,3,2,10,60,51,1,12,9,11,39,9,42,43,34,18,13,2,1,1087,1,1,1068,35000,2,1,921,37000,1,1,41000,1091,1,-2,1700,1
30,11,58,5,3,2,11,58,51,1,8,13,5,40,9,36,43,32,14,9,2,-4,-4,4,-4,-4,0,7,-4,-4,0,4,-4,0,-4,4,0,-4,7
31,10,63,4,1,1,10,63,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,805,1,1,875,15000,1,1,775,21000,1,1,22000,651,1,31000,787,1
32,11,57,8,1,2,11,57,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-5,-5,-5,-5,-5,-5,-5,1,897,6000,1,1,30000,1118,1,30000,1280,1
33,5,62,4,1,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,1,-4,4000,6,1,450,3200,1,1,-2,-4,1,-1,-4,1
34,12,58,1,3,1,12,58,51,1,8,20,8,24,3,36,33,41,15,13,1,1,1560,1,1,2173,45000,1,1,1644,42000,1,1,43000,1644,2,42000,1794,1
35,8,63,5,3,2,8,63,51,0,15,29,11,36,11,46,46,53,45,44,2,1,1104,1,1,1213,23800,1,1,1213,23000,1,1,25000,1249,2,27000,1299,1
36,8,62,1,3,1,8,62,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1000,1,1,1068,24693,1,1,1201,25000,1,1,24200,941,1,27300,723,1
37,10,58,5,3,2,10,58,51,1,21,31,13,32,12,54,48,56,60,59,2,1,1009,4,-4,-4,10000,4,-4,-4,0,4,-4,0,-4,4,0,-4,7
38,8,62,5,3,2,8,62,51,0,9,17,9,30,5,38,37,39,17,13,2,2,1397,1,2,1442,25000,1,2,1428,26000,2,2,34000,1631,1,33490,1785,1
39,2,59,1,3,1,2,59,51,1,16,23,10,35,8,47,41,46,35,29,1,1,1123,1,1,1236,45000,1,1,115384,70000,2,1,54000,1666,1,48000,2222,2
40,2,60,2,3,1,2,60,51,1,13,25,10,41,15,43,52,48,38,38,1,2,1125,1,-4,-4,3500,8,-4,-4,1400,8,-4,2500,775,8,30000,-4,8
41,4,62,2,3,1,4,62,51,1,15,29,11,36,18,46,57,53,45,54,1,1,1608,1,1,1395,48000,1,1,2272,65000,1,1,69000,2653,1,60000,1989,1
42,9,63,1,3,1,9,63,51,0,12,17,7,36,8,42,41,37,20,16,1,1,1300,1,1,1100,24000,1,1,1282,9000,1,1,29500,1285,1,32000,1367,1
43,6,61,6,3,2,6,61,51,1,6,15,6,25,13,34,49,35,9,13,2,1,425,1,1,416,2000,4,1,505,-2,3,-4,0,-4,5,0,-4,4
44,4,61,5,3,2,4,61,51,1,17,25,11,36,9,49,43,49,42,37,2,-4,-4,4,1,485,0,1,1,600,3000,2,1,5200,825,1,-5,-5,-5
45,11,59,1,3,1,11,59,51,1,16,28,13,29,12,47,48,54,43,49,1,1,1538,1,3,1636,32000,1,3,961,25000,1,3,0,734,1,20000,641,1
46,11,62,5,3,2,11,62,51,0,14,28,15,48,21,45,62,55,58,63,2,2,1538,1,1,1635,34000,1,1,1682,34000,1,1,33000,1586,1,36000,1730,7
47,2,59,1,3,1,2,59,51,1,26,33,13,35,16,61,54,58,78,77,1,1,1500,1,1,1500,45000,1,1,1730,35000,1,1,47000,2008,1,43000,1503,1
48,10,58,2,3,1,-5,-5,51,1,15,29,6,34,8,46,41,48,36,32,1,-5,-5,-5,1,1500,12000,6,-4,-4,10000,4,-4,0,-4,4,0,-4,5
49,5,58,5,3,2,5,58,51,1,26,28,14,50,14,61,51,54,81,66,2,1,1758,1,1,1700,22000,1,1,1754,24757,1,1,27216,1500,1,23940,1500,2
50,9,58,5,3,2,9,58,51,0,24,32,15,50,18,58,57,59,87,79,2,1,1200,1,1,1199,23700,1,1,1263,27000,1,3,23000,171,4,3120,150,1
51,1,63,1,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,9,58,1,3,1,9,58,51,1,28,32,12,50,23,64,65,56,89,86,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,3,63,4,1,1,3,63,51,0,18,26,10,29,11,50,46,49,38,41,1,-4,-4,7,-4,-4,0,7,-4,-4,0,6,-4,0,-4,7,0,-4,5
54,6,58,1,3,1,6,58,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1250,1,2,1400,32000,1,2,1490,31000,2,2,31000,1500,1,-5,-5,-5
55,11,58,1,3,1,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
