GPA,SAT
4.42,2280
4.381,2230
4.325,2070
4.25,2300
4.237,1940
4.231,2230
4.186,1940
4.173,2180
4.141,2390
4.132,2000
4.117,1820
4.074,1940
4.033,2030
4.013,1860
3.952,2250
3.947,1500
3.914,1500
3.89,1880
3.883,2110
3.847,1460
3.839,1900
3.826,1460
3.818,2120
3.788,1480
3.768,1500
3.69,1490
3.681,1290
3.646,1280
3.609,1430
3.587,1850
3.586,1250
3.549,1170
3.515,1400
3.508,1190
3.503,1660
3.472,1460
3.435,1420
3.425,1420
3.418,1620
3.414,2040
3.365,1490
3.352,1310
3.34,1130
3.337,2130
3.287,1350
3.285,1490
3.195,1580
3.193,1400
3.19,1190
3.154,1430
3.13,1410
3.123,1040
3.08,1050
3.053,1490
3.016,1370
2.989,1440
2.975,1180
2.889,1180
2.884,1030
2.835,1390
2.802,1790
2.795,1390
2.788,1410
2.773,1430
2.768,1200
2.758,880
2.72,1240
2.72,1100
2.714,1480
2.695,1970
2.689,1470
2.634,1300
2.591,1010
2.557,990
2.552,1200
2.519,1480
2.517,1110
2.498,1460
2.423,1140
2.421,1120
2.4,1290
2.386,1260
2.311,1090
2.276,1190
2.261,830
2.254,1480
2.166,1470
2.134,950
2.133,720
2.122,920
2.094,820
1.98,1170
1.941,970
1.764,890
1.631,940
1.568,850
1.459,710
1.37,980
1.136,760
