name,age,class,honorific,given_name,family_name,url
"Abrams, Mr. William Thomas",34.0,Engineering Crew,Mr,William Thomas,Abrams,/titanic-victim/william-thomas-abrams.html
"Adams, Mr. Robert John",26.0,Engineering Crew,Mr,Robert John,Adams,/titanic-victim/r-adams.html
"Allen, Mr. Ernest Frederick",24.0,Engineering Crew,Mr,Ernest Frederick,Allen,/titanic-survivor/ernest-frederick-allen.html
"Allen, Mr. Henry",30.0,Engineering Crew,Mr,Henry,Allen,/titanic-victim/henry-allen.html
"Allsop, Mr. Alfred Samuel",36.0,Engineering Crew,Mr,Alfred Samuel,Allsop,/titanic-victim/alfred-samuel-allsop.html
"Avery, Mr. James Albert",20.0,Engineering Crew,Mr,James Albert,Avery,/titanic-survivor/james-frank-avery.html
"Bailey, Mr. George Frank",46.0,Engineering Crew,Mr,George Frank,Bailey,/titanic-victim/george-bailey.html
"Baines, Mr. Richard",58.0,Engineering Crew,Mr,Richard,Baines,/titanic-victim/richard-baines.html
"Bannon, Mr. John Joseph",34.0,Engineering Crew,Mr,John Joseph,Bannon,/titanic-victim/john-bannon.html
"Barlow, Mr. Charles Henry",30.0,Engineering Crew,Mr,Charles Henry,Barlow,/titanic-victim/charles-barlow.html
"Barnes, Mr. Charles",29.0,Engineering Crew,Mr,Charles,Barnes,/titanic-victim/charles-barnes.html
"Barnes, Mr. John",39.0,Engineering Crew,Mr,John,Barnes,/titanic-victim/john-barnes.html
"Barrett, Mr. Frederick William",33.0,Engineering Crew,Mr,Frederick William,Barrett,/titanic-victim/frederick-william-barrett.html
"Barrett, Mr. Frederick William",29.0,Engineering Crew,Mr,Frederick William,Barrett,/titanic-survivor/frederick-barrett.html
"Beattie, Mr. Joseph John",40.0,Engineering Crew,Mr,Joseph John,Beattie,/titanic-victim/joseph-beattie.html
"Beauchamp, Mr. George William",24.0,Engineering Crew,Mr,George William,Beauchamp,/titanic-survivor/george-william-beauchamp.html
"Bell, Mr. Joseph",51.0,Engineering Crew,Mr,Joseph,Bell,/titanic-victim/joseph-bell.html
"Bendell, Mr. Frank",23.0,Engineering Crew,Mr,Frank,Bendell,/titanic-victim/f-bendell.html
"Bennett, Mr. George Alfred",30.0,Engineering Crew,Mr,George Alfred,Bennett,/titanic-victim/george-alfred-bennett.html
"Benville, Mr. Edward",47.0,Engineering Crew,Mr,Edward,Benville,/titanic-victim/e-benville.html
"Bessant, Mr. William Edward Lowe",40.0,Engineering Crew,Mr,William Edward Lowe,Bessant,/titanic-victim/william-edward-bessant.html
"Bevis, Mr. Joseph Henry",22.0,Engineering Crew,Mr,Joseph Henry,Bevis,/titanic-victim/joseph-henry-bevis.html
