name,gender,age,class,embarked,country,fare,survived
"Abbing, Mr. Anthony",male,42.0,3rd,Southampton,United States,7.11,no
"Abbott, Mr. Eugene Joseph",male,13.0,3rd,Southampton,United States,20.05,no
"Abbott, Mr. Rossmore Edward",male,16.0,3rd,Southampton,United States,20.05,no
"Abbott, Mrs. Rhoda Mary 'Rosa'",female,39.0,3rd,Southampton,England,20.05,yes
"Abelseth, Miss. Karen Marie",female,16.0,3rd,Southampton,Norway,7.13,yes
"Abelseth, Mr. Olaus Jørgensen",male,25.0,3rd,Southampton,United States,7.13,yes
"Abelson, Mr. Samuel",male,30.0,2nd,Cherbourg,France,24.0,no
"Abelson, Mrs. Hannah",female,28.0,2nd,Cherbourg,France,24.0,yes
"Abī-Al-Munà, Mr. Nāsīf Qāsim",male,27.0,3rd,Cherbourg,Lebanon,18.1509,yes
"Abrahamsson, Mr. Abraham August Johannes",male,20.0,3rd,Southampton,Finland,7.1806,yes
"Ådahl, Mr. Mauritz",male,30.0,3rd,Southampton,Sweden,7.05,no
"Adams, Mr. John",male,27.0,3rd,Southampton,England,8.01,no
"Ahlin, Mrs. Johanna Persdotter",female,40.0,3rd,Southampton,Sweden,9.0906,no
"Aks, Master. Frank Philip",male,0.8333333333,3rd,Southampton,England,9.07,yes
"Aks, Mrs. Leah",female,18.0,3rd,Southampton,England,9.07,yes
"Aldworth, Mr. Augustus Henry",male,35.0,2nd,Southampton,England,13.0,no
"Alexander, Mr. William Albert",male,25.0,3rd,Southampton,England,7.1709,no
"Alhomäki, Mr. Ilmari Rudolf",male,19.0,3rd,Southampton,Finland,7.1806,no
"Ali, Mr. Ahmed",male,24.0,3rd,Southampton,Argentina,7.01,no
"Ali, Mr. William",male,25.0,3rd,Southampton,Argentina,7.01,no
"Allen, Miss. Elisabeth Walton",female,29.0,1st,Southampton,United States,211.6009,yes
"Allen, Mr. William Henry",male,39.0,3rd,Southampton,England,8.01,no
"Allison, Master. Hudson Trevor",male,0.9166666667,1st,Southampton,Canada,151.16,yes
"Allison, Miss. Helen Loraine",female,2.0,1st,Southampton,Canada,151.16,no
