title,budget,runtime,revenue,vote_average,vote_count,year,country
The Shawshank Redemption,25000000,142.0,28341469,8.5,8205,1994,US
The Godfather,6000000,175.0,245066411,8.4,5893,1972,US
Schindler's List,22000000,195.0,321365567,8.3,4329,1993,US
Pulp Fiction,8000000,154.0,213928762,8.3,8428,1994,US
Spirited Away,15000000,125.0,274925095,8.3,3840,2001,JP
The Godfather: Part II,13000000,200.0,47542841,8.3,3338,1974,US
Whiplash,3300000,105.0,13092000,8.3,4254,2014,US
Fight Club,63000000,139.0,100853753,8.3,9413,1999,DE
One Flew Over the Cuckoo's Nest,3000000,133.0,108981275,8.2,2919,1975,US
Forrest Gump,55000000,142.0,677945399,8.2,7927,1994,US
The Dark Knight,185000000,152.0,1004558444,8.2,12002,2008,GB
12 Angry Men,350000,96.0,1000000,8.2,2078,1957,US
Princess Mononoke,26500000,134.0,159375308,8.2,1983,1997,JP
The Green Mile,60000000,189.0,284600000,8.2,4048,1999,US
Psycho,806948,109.0,32000000,8.2,2320,1960,US
Seven Samurai,2000000,207.0,271841,8.2,878,1954,JP
The Empire Strikes Back,18000000,124.0,538400000,8.2,5879,1980,US
American History X,20000000,119.0,23875127,8.2,3016,1998,US
Howl's Moving Castle,24000000,119.0,234710455,8.2,1991,2004,JP
GoodFellas,25000000,145.0,46836394,8.2,3128,1990,US
Once Upon a Time in America,30000000,229.0,0,8.2,1069,1984,US
Modern Times,1,87.0,8500000,8.1,856,1936,US
Se7en,33000000,127.0,327311859,8.1,5765,1995,US
Dead Poets Society,16400000,129.0,235860116,8.1,2705,1989,US
The Usual Suspects,6000000,106.0,23341568,8.1,3254,1995,US
The Apartment,3000000,125.0,25000000,8.1,483,1960,US
Room,6000000,117.0,35401758,8.1,2757,2015,CA
The Shining,19000000,144.0,44017374,8.1,3757,1980,US
Interstellar,165000000,169.0,675120017,8.1,10867,2014,CA
Inception,160000000,148.0,825532764,8.1,13752,2010,GB
The Lord of the Rings: The Return of the King,94000000,201.0,1118888979,8.1,8064,2003,NZ
The Silence of the Lambs,19000000,119.0,272742922,8.1,4443,1991,US
City of God,3300000,130.0,30641770,8.1,1814,2002,BR
"The Good, the Bad and the Ugly",1200000,161.0,6000000,8.1,2311,1966,US
Star Wars,11000000,121.0,775398007,8.1,6624,1977,US
Memento,9000000,113.0,39723096,8.1,4028,2000,US
Once Upon a Time in the West,5000000,175.0,5321508,8.1,1128,1968,IT
On the Waterfront,910000,108.0,9600000,8.0,357,1954,US
Scarface,25000000,170.0,65884703,8.0,2948,1983,US
The Grand Budapest Hotel,30000000,99.0,174600318,8.0,4519,2014,GB
Apocalypse Now,31500000,153.0,89460381,8.0,2055,1979,US
The Lord of the Rings: The Two Towers,79000000,179.0,926287400,8.0,7487,2002,NZ
Oldboy,3000000,120.0,14980005,8.0,1945,2003,KR
Back to the Future,19000000,116.0,381109762,8.0,6079,1985,US
Inside Out,175000000,94.0,857611174,8.0,6560,2015,US
Samsara,4000000,102.0,0,8.0,167,2011,US
To Kill a Mockingbird,2000000,129.0,13129846,8.0,657,1962,US
The Imitation Game,14000000,113.0,233555708,8.0,5723,2014,GB
Taxi Driver,1300000,114.0,28262574,8.0,2535,1976,US
Reservoir Dogs,1200000,99.0,14661007,8.0,3697,1992,US
The Lord of the Rings: The Fellowship of the Ring,93000000,178.0,871368364,8.0,8705,2001,NZ
Some Like It Hot,2883848,122.0,25000000,8.0,808,1959,US
It's a Wonderful Life,3180000,130.0,9644124,8.0,1076,1946,US
The Prestige,40000000,130.0,109676311,8.0,4391,2006,US
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,95.0,9440272,8.0,1442,1964,GB
Metropolis,92620000,153.0,650422,8.0,657,1927,DE
One Direction: This Is Us,10000000,92.0,0,8.0,201,2013,US
The Pianist,35000000,150.0,120072577,8.0,1864,2002,FR
The Lion King,45000000,89.0,788241776,8.0,5376,1994,US
Eternal Sunshine of the Spotless Mind,20000000,108.0,72258126,7.9,3652,2004,US
Her,23000000,126.0,47351251,7.9,4097,2013,CN
Gone Girl,61000000,145.0,369330363,7.9,5862,2014,US
2001: A Space Odyssey,10500000,149.0,68700000,7.9,2998,1968,US
12 Years a Slave,20000000,134.0,187000000,7.9,3674,2013,US
Saving Private Ryan,70000000,169.0,481840909,7.9,5048,1998,US
The Hunt,3800000,115.0,16800000,7.9,927,2012,DK
Good Will Hunting,10000000,126.0,225933435,7.9,2811,1997,CA
The Matrix,63000000,136.0,463517383,7.9,8907,1999,AU
Das Boot,14000000,149.0,85000000,7.9,613,1981,DE
Guardians of the Galaxy,170000000,121.0,773328629,7.9,9742,2014,GB
Polisse,0,127.0,20374201,7.9,285,2011,FR
Casablanca,878000,102.0,10462500,7.9,1422,1942,US
"Batman: The Dark Knight Returns, Part 2",3500000,78.0,0,7.9,419,2013,US
Incendies,6800000,130.0,7103838,7.9,479,2010,CA
The Wolf of Wall Street,100000000,180.0,392000694,7.9,6571,2013,US
The Sting,5500000,129.0,159616327,7.9,622,1973,US
The Elephant Man,5000000,124.0,26010864,7.9,719,1980,GB
The Departed,90000000,151.0,289847354,7.9,4339,2006,HK
American Beauty,15000000,122.0,356296601,7.9,3313,1999,US
Return of the Jedi,32350000,135.0,572700000,7.9,4665,1983,US
Dallas Buyers Club,5000000,117.0,55198285,7.9,2886,2013,US
Mr. Smith Goes to Washington,1500000,129.0,9600000,7.9,241,1939,US
Blade Runner,28000000,117.0,33139618,7.9,3509,1982,US
The Lives of Others,2000000,137.0,70000000,7.9,958,2006,DE
Gladiator,103000000,155.0,457640427,7.9,5439,2000,GB
Requiem for a Dream,4500000,102.0,7390108,7.9,2443,2000,US
Alien,11000000,117.0,104931801,7.9,4470,1979,US
There Will Be Blood,25000000,158.0,77208711,7.9,1537,2007,US
Prisoners,46000000,153.0,122126687,7.9,3085,2013,US
Inglourious Basterds,70000000,153.0,319131050,7.9,6430,2009,DE
The Second Mother,0,110.0,0,7.8,165,2015,BR
Elite Squad,4000000,115.0,0,7.8,504,2007,BR
The Help,25000000,146.0,124272124,7.8,1910,2011,IN
Waltz with Bashir,2000000,90.0,11125849,7.8,291,2008,IL
Stand by Me,8000000,89.0,52287414,7.8,1522,1986,US
Spotlight,20000000,128.0,88346473,7.8,2686,2015,CA
Singin' in the Rain,2540800,103.0,7200000,7.8,727,1952,US
Trainspotting,4000000,93.0,16491080,7.8,2655,1996,GB
About Time,0,123.0,87100449,7.8,2067,2013,GB
Into the Wild,15000000,148.0,56255142,7.8,3045,2007,US
Children of Heaven,180000,89.0,900000,7.8,112,1997,IR
Akira,8000000,124.0,553171,7.8,773,1988,JP
Amélie,10000000,122.0,173921954,7.8,3310,2001,FR
